Nike Global Manufacturing Data Export - Filters applied: ((none)),,,,,,,,,,,,,,,,,,
Factory Name,Product Type,"Nike, Inc. Brand(s)",Events,Address,City,State,Postal Code,Country,Operating Region,Total Workers,Line Workers,% Female Workers,% Migrant Workers,Contact Name,Contact Phone,Contact Fax,Contact Email,Subcons
JULIMAR INDUSTRIA DE CAL茿DOS LTDA,Footwear,Converse,,"AV.20 DE MAR荗, 70",SANTO ANT訬IO DE PALMA,,,Brazil,Emerging Markets,32,30,90,0,,,,,
L.F.T INDUSTRIA DE CAL茿DOS LTDA,Footwear,Converse,,RUA SENADOR ALBERTO PASQUALINI 129 SALA A,VANINI,,,Brazil,Emerging Markets,97,91,80,0,,,,,
MARIN蔛 GASPARETTO,Footwear,Converse,,"RUA MAL. DEODORO DE FONSECA, 679. CENTRO",VERAN覲OLIS,,,Brazil,Emerging Markets,32,30,90,0,,,,,
OCA INDUSTRIA DE CAL茿DOS LTDA,Footwear,Converse,,"RUA SENADOR TARSO DUTRA, 506",CASCA,,,Brazil,Emerging Markets,56,55,85,0,,,,,
P SANTOS ATELIER DE CAL茿DOS LTDA.,Footwear,Converse,,"RUA PEDRAS BRANCAS, 162",LINHA NOVA,,0,Brazil,Emerging Markets,30,29,86,0,,,,,
RZ COSTURAS LTDA,Footwear,Converse,,"AV.DALTRO FILHO,985",S肙 JORGE,,,Brazil,Emerging Markets,49,48,83,0,,,,,
SERGIO L. KUHN,Footwear,Converse,,"RUA PRESIDENTE LUCENA,BAIRRO PICADA HOLANDA,3287",PICADA CAFE,,0,Brazil,Emerging Markets,54,50,99,0,,,,,
TOPSHOES INDUSTRIA DE CALCADOS,Footwear,Converse,,"RUA INACIO SCHNEIDE, 345 CENTRO",SAO VENDELINO,R/S,,Brazil,Emerging Markets,191,181,92,0,,,,,
W.S. CAL茿DOS LTDA.,Footwear,Converse,,"RUA VICENTE PRIETO, 8321",NOVA PETR覲OLIS,,,Brazil,Emerging Markets,120,112,79,0,,,,,
YEDA MARIA LUDWIG ME,Footwear,Converse,,YEDA MARIA LUDWIG ME,FELIZ,,,Brazil,Emerging Markets,45,43,96,0,,,,,
"CHENG WAH GARMENT (PANYU) CO., LTD.",Apparel,Converse,,"NO.1, LIGANG ROAD, INDUSTRY DEVELOPING DISTRICT,",GUANGZHOU CITY,GUANGDONG,,China,Greater China,875,612,58,0,,,,,
"CONTOUR OPTIK (JIANGXI) CO., LTD.",Equipment,Converse,,YUJIANG INTERNATIONAL GLASSES INDUSTRIAL PARK,YINGTAN,JIANGXI,,China,Greater China,248,145,54,0,,,,,
"DONGGUAN JIA-JIA HANDBAG CO., LTD",Equipment,Converse,,"5 ROAD, 2ND FULONG INDUSTRIAL ZONE, SHIPAI TOWN",DONGGUAN,GUANGDONG,523349,China,Greater China,180,130,40,0,,,,,
DONGGUAN KIN YIP BAGS & HATS FACTORY,Equipment,Converse,,"SHIGANG DA DAO, GUXIA, SHIPAI TOWN",DONGGUAN,GUANGDONG,0,China,Greater China,260,180,53,0,,,,,
FLOURISH OPTICAL MANUFACTORY (SHENZHEN) LIMITED,Equipment,Converse,,"NO.16 JIN CHENG LU, CENTRAL VILLAGE,",SHENZHEN,,,China,Greater China,570,518,34,0,,,,,
GOLDFREIGHT SHOES FACTORY,Footwear,Converse,,"CHUANG KOU MANAGEMENT ZONE OF HOUJIE DONGGUAN GUANGDONG, CHINA",DONGGUAN,GUANGDONG,523947,China,Greater China,1650,1340,60,122.8,,,,,
"GRAND GALATICA FOOTWEAR CO., LTD.",Footwear,Converse,,"HONGKUAN INDUSTRIAL VILLAGE, YANGXIA TOWN",FUQING,FUJIAN,,China,Greater China,1628,1466,51,0,,,,,
GSI DEVELOPMENT CENTER,Footwear,Converse,,"POU YUEN INDUSTRIAL CITY, FIRST INDUSTRIAL, DISTRICT SANXIANG TOWN",ZHONG SHAN,GUANGDONG,528463,China,Greater China,144,82,62,172,,,,,
"GUANGZHOU SII WATCH CO.,LTD",Equipment,Converse,,"XIA YUEN IND. BLDG., 2 XIA YUEN ROAD, HUANGPU",GUANGZHOU,GUANGDONG,510735,China,Greater China,515,371,90,67.9,,,,,
