conveyor,month,all_salary,workers,avg_pay,attrition,cus1,cus1ps,cus2,cus2ps,cus3,cus3ps,cus4,cus4ps,cus5,cus5ps,allps,cus1price,cus2price,cus3price,totalPairSale,avgprice,minprice,maxprice,numbuyers,numstyles,numartno,numbatches,cus6,cus6ps,cus1share,pschange,stylesch,artnoch,mbordering,mbleadtime,mbpricing,mbpay
A-3,9,1040563.5,126,8258.440476,0,Bull,17169,Crown,468,,,,,,,17637,19.22838589,17.84000015,,338481.2774,19.1915449,17.84000015,19.22838589,2,15,7,45,,,97.3464875,-22.36894229,4,-1,3,2,2.5,2
A-4,1,1145621.9,116,9876.050862,,Bull,12702,Rhino,9282,,,,,,,21984,13.8566135,17.30954093,,336673.8636,15.31449525,13.8566135,17.30954093,2,15,9,30,,,57.77838428,,,,3,2,2.5,2
A-4,2,1173994,118,9949.101695,0,Rhino,22722,Bull,10539,,,,,,,33261,19.87447346,14.55463988,,604979.1356,18.18884386,14.55463988,19.87447346,2,35,18,70,,,68.3142419,51.29639738,20,9,3,2,3,1
A-4,3,1123469.6,120,9362.246667,0,Rhino,34938,Bull,2580,,,,,,,37518,21.03537813,14.5,,772344.0413,20.58595984,14.5,21.03537813,2,35,12,74,,,93.12330082,12.79877334,0,-6,3,2,3,1
A-4,4,1123315.2,119,9439.623529,0.008333333,Rhino,39614,Bull,12528,,,,,,,52142,21.42794657,15.28524883,,1040340.273,19.95205924,15.28524883,21.42794657,2,43,24,86,,,75.97330367,38.97862359,8,12,3,2,3,1
A-4,5,1107889.2,116,9550.768966,0.025210084,Rhino,29016,Bull,1020,,,,,,,30036,21.89228908,14.18823552,,649698.6602,21.63066521,14.18823552,21.89228908,2,29,13,74,,,96.60407511,-42.39576541,-14,-11,3,2,3,1
A-4,6,1096629.7,119,9215.37563,0,Rhino,25392,Bull,1200,Sparky,726,,,,,27318,20.72686189,13.85000038,16.33317184,554774.3603,20.30801524,13.85000038,20.72686189,3,29,13,57,,,92.94970349,-9.049141031,0,0,3,2,3,1
A-4,7,1097027.4,117,9376.302564,0.016806723,Rhino,31450,Bull,6462,Curfu,1932,,,,,39844,21.18446624,17.80979626,27.28910004,834060.9079,20.93316203,17.80979626,27.28910004,3,45,23,93,,,78.93283807,45.85255143,16,10,3,2,3,1
A-4,8,1075420.1,114,9433.509649,0.025641026,Rhino,31074,Crown,5264,,,,,,,36338,21.56473327,12.0658054,,733616.9212,20.18869837,12.0658054,21.56473327,2,32,9,110,,,85.51378722,-8.799317338,-13,-14,3,2,3,1
A-4,9,1098572.3,117,9389.506838,0,Bull,11601,Rhino,5976,Crown,3601,,,,,21178,14.61851581,20.72821293,13.30862808,341385.5721,16.11982114,13.30862808,20.72821293,3,22,14,31,,,54.77854377,-41.71941219,-10,5,3,2,2.5,2
B-1,1,1147866.6,125,9182.9328,,Sparky,17813,Rhino,4969,PortLand,2850,,,,,25632,15.98811765,20.46877834,20.40600002,444662.7993,17.34795565,15.98811765,20.46877834,3,30,26,38,,,69.4951623,,,,3,2,2.5,2
B-1,2,1131376.5,119,9507.365546,0.048,Rhino,22756,Sparky,6189,Lamby,1254,PortLand,524,,,30723,18.8531738,16.35124197,10.52799988,553583.7715,18.01854544,10.52799988,19.39122137,4,32,22,59,,,74.0682876,19.86189139,2,-4,3,2,3,1
B-1,3,1101308.7,121,9101.724793,0,Sparky,20555,Rhino,12175,PortLand,150,,,,,32880,16.705567,18.16006822,18,567181.7603,17.25005354,16.705567,18.16006822,3,40,31,68,,,62.51520681,7.02079875,8,9,3,2,2.5,2
