repriskID,company_name,headquarters_country,headquarters_country_isocode,sectors,url,isins,primary_isin,no_reported_risk_exposure
2582160,Bravo Apparel Manufacturer Ltd,Bangladesh,BD,Personal and Household Goods,http://www.amtranet.com/,,,True
2582161,Zon Ron Sweaters Ltd,Bangladesh,BD,Personal and Household Goods | Retail,,,,True
2582166,SLJ (Cambodia) Apparel Manufacturing Co Ltd,Cambodia,KH,Personal and Household Goods,,,,True
2582167,Euro Washing Ltd,Bangladesh,BD,Retail,,,,True
2582171,Hemple Rhee Manufacturing Co (Bangladesh) Ltd,Bangladesh,BD,Personal and Household Goods,,,,True
2582173,King Lian (Cambodia) Garment Factory Co Ltd,Cambodia,KH,Personal and Household Goods,,,,True
2582174,Blur Creations Ltd,Bangladesh,BD,Retail,,,,True
2582181,Xin Yunfeng (Cambodia) Fashion Co Ltd,Cambodia,KH,Personal and Household Goods,,,,True
2582183,Sanjana Fabrics Ltd,Bangladesh,BD,Personal and Household Goods,http://www.asiatictextile.com/group.html,,,True
2582222,MM Knitwear Ltd,Bangladesh,BD,Personal and Household Goods,https://mmknitwear.com/index.html,,,True
2582233,SQ Hues Ltd,Bangladesh,BD,Personal and Household Goods,,,,True
2582235,Mahdeen Sweaters Ltd,Bangladesh,BD,Personal and Household Goods,,,,True
2582241,Mega Yarn Dyeing Mills Ltd,Bangladesh,BD,Personal and Household Goods,https://www.masihata.com/MegaYarnDyeingMillsLtd.html,,,True
2582247,Montex Fabrics Ltd,Bangladesh,BD,Personal and Household Goods,,,,True
2582286,Alif Embroidery Village Ltd,Bangladesh,BD,Personal and Household Goods,https://almbd.com/,,,True
2582289,Sheng Huang Industries Co Ltd,Cambodia,KH,Personal and Household Goods,,,,True
2582330,Al Muslim Washing Ltd,Bangladesh,BD,Retail,https://al-muslimgroup.com/al-muslim-washing-ltd/,,,True
2582331,Square Denims Ltd,Bangladesh,BD,Personal and Household Goods,https://www.squaredenims.com/,,,True
2582334,Lavender Garment Ltd,Bangladesh,BD,Personal and Household Goods,,,,True
2582346,Mitra Duta Sejati; PT,Indonesia,ID,Travel and Leisure,,,,False
2582348,Guowoo (Cambodia) Co Ltd,Cambodia,KH,Personal and Household Goods,,,,True
2582355,Amtranet Ltd,Bangladesh,BD,Personal and Household Goods,,,,True
2582362,China Bao Xin (Cambodia) Dyeing & Finishing Co Ltd,Cambodia,KH,Personal and Household Goods | Retail,,,,True
2582368,Cinlon International (Cambodia) Co Ltd,Cambodia,KH,Personal and Household Goods,,,,False
2582426,Elegant Textile Industry; PT,Indonesia,ID,Personal and Household Goods,https://www.adityabirla.com/businesses/companies/pt-elegant-textile-industry-indonesia,,,True
2582428,Ha-Meem Denim Ltd,Bangladesh,BD,Personal and Household Goods | Retail,http://www.hameemdenim.com/,,,True
2582439,Ragadi Textile Ltd,Bangladesh,BD,Personal and Household Goods,,,,True
2582461,Nassa Hi-Tech Wash Ltd,Bangladesh,BD,Unspecified,,,,True
2582472,Hossain Dyeing & Printing Mill Ltd,Bangladesh,BD,Personal and Household Goods,https://www.anwargroup.com/anwar_brands/anwar-textile/,,,True
2582475,Tao and Kiven Garment Co Ltd,Cambodia,KH,Personal and Household Goods,,,,True
2582479,New Dacca Industries Ltd (NDI),Bangladesh,BD,Personal and Household Goods | Retail,https://www.beximcojute.com/,,,True
2582486,Credstar Washing & Processing Co Ltd,Cambodia,KH,Chemicals | Retail,,,,True
2582490,Golden River Garment Washing Co Ltd,Cambodia,KH,Retail,,,,True
2582491,Peng Da Garment (Cambodia) Co Ltd,Cambodia,KH,Personal and Household Goods,,,,True
2582492,Etafil Accessories Ltd,Bangladesh,BD,Personal and Household Goods,http://www.tamishna.com/,,,True
2582495,Independence Clothing (Cambodia) Co Ltd,Cambodia,KH,Personal and Household Goods,,,,True
2582508,Yokohama Labels & Printing (BD) Co Ltd,Bangladesh,BD,Support Services (Industrial Goods and Services),http://www.yokohamabd.com/,,,True
2582536,Advanced Composite Textile Ltd,Bangladesh,BD,Personal and Household Goods,https://actlbd.com/,,,True
2582545,Radisson Washing Plant Ltd,Bangladesh,BD,Personal and Household Goods,https://www.radissonwash.com/,,,True
2582552,Nice Denim Mills Ltd,Bangladesh,BD,Personal and Household Goods,https://nice-denim.com/,,,True
2582591,Asuransi Bangun Askrida; PT,Indonesia,ID,Insurance,http://askrida.com/,,,False
2582610,Jogja Magasa Iron; PT,Indonesia,ID,Mining,,,,False
2582615,Jin Long Yan (Cambodia) Co Ltd,Cambodia,KH,Support Services (Industrial Goods and Services),,,,True
2582622,Fakir Fashion Ltd,Bangladesh,BD,Personal and Household Goods,https://fakirfashion.com/,,,True
2582623,Forever Colour Garment Co Ltd,Cambodia,KH,Personal and Household Goods,,,,True
2582645,Mulyo Joyo Abadi; PT,Indonesia,ID,Unspecified,,,,False
2582648,Sigma Cipta Caraka; PT (Telkomsigma),Indonesia,ID,Software and Computer Services,https://www.telkomsigma.co.id/,,,False
2582655,Wisata Surya Timur; PT,Indonesia,ID,Travel and Leisure,,,,False
2582657,Van Phu Garment JSC,Vietnam,VN,Personal and Household Goods,,,,True
2582693,Pakiza Apparels Ltd,Bangladesh,BD,Personal and Household Goods,,,,True
2582695,Orange Manufacturing (Khmer) Co Ltd,Cambodia,KH,Personal and Household Goods,,,,True
2582703,Norp Knit Industries Ltd,Bangladesh,BD,Personal and Household Goods,,,,True
2582717,SD Evergreen Apparel (Cambodia) Co Ltd,Cambodia,KH,Personal and Household Goods,,,,True
2582727,Consumer Knitex Ltd,Bangladesh,BD,Personal and Household Goods | Retail,,,,True
2582742,Daeseung Cambo Co Ltd,Cambodia,KH,Personal and Household Goods,,,,True
2582843,Angkasa Super Service; PT (Lion Bizjet),Indonesia,ID,Airlines,http://lionbizjet.com/,,,False
2582930,NZ Apparels Ltd,Bangladesh,BD,Personal and Household Goods,https://nztexgroup.com/,,,True
2582940,Perstima (Vietnam) Co Ltd,Vietnam,VN,Industrial Metals,http://www.perstima.com.vn/,,,True
2582949,PLN Energi Primer Indonesia (PLNEPI; formerly PLN Batubara),Indonesia,ID,Oil and Gas | Mining,https://www.plnepi.co.id/,,,False
2583018,Hans Trade International,Bangladesh,BD,Retail,,,,False
2583029,Oto Multiartha; PT (Oto),Indonesia,ID,Financial Services,https://www.oto.co.id/,,,True
2583042,Indomobil Finance Indonesia; PT,Indonesia,ID,Financial Services,https://indomobilfinance.com/,,,True
2583467,Poton Traders Pvt Ltd,Bangladesh,BD,Chemicals | Support Services (Industrial Goods and Services) | Retail,,,,False
2583488,Kushtia Traders,Bangladesh,BD,Unspecified,,,,False
2583492,Messrs Nawab & Company,Bangladesh,BD,Unspecified,,,,False
2583647,Phu Hoang Spinning JSC,Vietnam,VN,Personal and Household Goods,https://phuhoangspinning.com/,,,True
2584051,Permodalan Nasional Madani; PT,Indonesia,ID,Support Services (Industrial Goods and Services),https://www.pnm.co.id/,,,True
2584180,Japantech Indojaya; PT,Indonesia,ID,Personal and Household Goods,,,,False
2584317,Fachrindo Mega Sukses; PT,Indonesia,ID,Industrial Transportation,,,,False
2584324,Argo Makmur Cemindo; PT,Indonesia,ID,Unspecified,,,,False
2584325,Indokemas Adhikencana; PT,Indonesia,ID,Industrial Transportation,,,,False
2584450,Daqing-Citra Petroleum Technology Services; PT (Daqing Citra PTS),Indonesia,ID,Construction and Materials,,,,False
2584476,Tudung Putra Putri Jaya; PT,Indonesia,ID,Financial Services,https://tudung.id/,,,False
2584509,Sang Pelopor; PT,Indonesia,ID,Financial Services,,,,True
2584856,CT Wearnes Vietnam Co Ltd,Vietnam,VN,Retail | Automobiles and Parts,https://astonmartinhochiminh.com/en/about-us.html,,,False
2584867,GA Tiga Belas; PT (Toko Buku Gunung Agung),Indonesia,ID,Retail,,,,False
2584892,PDAM Tirta Manuntung (PDAM Balikpapan),Indonesia,ID,Utilities,https://www.tirtamanuntung.co.id,,,False
2584893,Multi Instrumentasi; PT,Indonesia,ID,Technology Hardware and Equipment,http://www.linflowmeter.com/,,,False
2584953,Air Minum Giri Menang (Perseroda); PT (formerly PDAM Giri Menang),Indonesia,ID,Utilities,https://ptamgirimenang.com/,,,False
2584978,Bangun Redjo Tirta Kencana; PT,Indonesia,ID,Construction and Materials,,,,False
2585016,Generasi Agung Perkasa; PT,Indonesia,ID,Mining,http://generasiagungperkasa.com/,,,False
2585022,Cyndi Eratama Sejahtera; PT,Indonesia,ID,Support Services (Industrial Goods and Services),https://pt-cyndi-eratama-sejati.business.site/,,,False
2585023,Tani Beru; CV,Indonesia,ID,Industrial Engineering | Technology Hardware and Equipment | Retail,,,,False
2585025,Surya Perkasa; CV,Indonesia,ID,Support Services (Industrial Goods and Services),,,,False
2585080,Kurnia Hasil; PT,Indonesia,ID,Mining,,,,False
2585145,Space Island Maluku; PT,Indonesia,ID,Food and Beverage,,,,False
2585287,Solitchmedia Synergy; PT (Solitech Media Sinergy; PT),Indonesia,ID,Unspecified,,,,False
2585322,Latexindo Toba Perkasa; PT,Indonesia,ID,Personal and Household Goods,,,,False
2585455,Astra Daihatsu Motor; PT,Indonesia,ID,Retail,https://daihatsu.co.id/,,,False
2585459,Phoenix Resources International; PT (PRI),Indonesia,ID,Paper | Forestry,,,,False
2585476,Tukad Mas Bima; PT,Indonesia,ID,Construction and Materials,,,,False
2585506,Basuma Jaya; PO,Indonesia,ID,Travel and Leisure,,,,False
