QuestID,FactoryBWID,FactoryName,Country,AssessmentDate,year,FNC,CNRR,repriskID
35107,24,Quality Sewing Manufacturing S.A.,Haiti,24/07/2019,2019,,,
41713,24,Quality Sewing Manufacturing S.A.,Haiti,10/02/2021,2021,,,
9992,28,MGA Haiti S.A.,Haiti,21/07/2015,2015,,,
15233,28,MGA Haiti S.A.,Haiti,21/06/2016,2016,,,
20026,28,MGA Haiti S.A.,Haiti,25/04/2017,2017,,,
27360,28,MGA Haiti S.A.,Haiti,15/05/2018,2018,,,
34961,28,MGA Haiti S.A.,Haiti,26/06/2019,2019,,,
41809,28,MGA Haiti S.A.,Haiti,23/02/2021,2021,,,
9868,29,DKDR HAITI S.A.,Haiti,16/06/2015,2015,,,
10030,31,PACIFIC SPORTS HAITI S.A.,Haiti,09/07/2015,2015,,,
15576,31,PACIFIC SPORTS HAITI S.A.,Haiti,14/06/2016,2016,,,
21199,31,PACIFIC SPORTS HAITI S.A.,Haiti,18/07/2017,2017,,,
29065,31,PACIFIC SPORTS HAITI S.A.,Haiti,01/08/2018,2018,,,
34890,31,PACIFIC SPORTS HAITI S.A.,Haiti,16/07/2019,2019,,,
9530,33,Sewing International S.A.,Haiti,16/06/2015,2015,,,
14358,33,Sewing International S.A.,Haiti,12/04/2016,2016,,,
20301,33,Sewing International S.A.,Haiti,16/05/2017,2017,,,
29004,33,Sewing International S.A.,Haiti,29/05/2018,2018,,,
35668,33,Sewing International S.A.,Haiti,06/08/2019,2019,,,
12894,35,Multiwear S.A.,Haiti,27/10/2015,2015,,,
12665,36,CODEVI,Haiti,23/11/2015,2015,,,
17654,36,CODEVI,Haiti,28/10/2016,2016,,,
26954,36,CODEVI,Haiti,22/05/2018,2018,,,
33353,36,CODEVI,Haiti,11/02/2019,2019,,,
39334,36,CODEVI,Haiti,28/01/2020,2020,,,
13317,39,Century Wear Co. (obsolete),Jordan,17/01/2016,2016,,,
17500,39,Century Wear Co. (obsolete),Jordan,09/11/2016,2016,,,
22762,39,Century Wear Co.,Jordan,17/10/2017,2017,,,
9626,43,INTERAMERICAN WOVENS S.A.,Haiti,30/06/2015,2015,,,
17216,43,INTERAMERICAN WOVENS S.A.,Haiti,12/10/2016,2016,,,
24033,43,INTERAMERICAN WOVENS S.A.,Haiti,16/08/2017,2017,,,
30421,43,INTERAMERICAN WOVENS S.A.,Haiti,29/08/2018,2018,,,
35820,43,INTERAMERICAN WOVENS S.A.,Haiti,22/08/2019,2019,,,
12535,48,ivory garment factory llc,Jordan,09/12/2015,2015,,,
18022,48,ivory garment factory llc,Jordan,14/12/2016,2016,,,
23418,48,ivory garment factory llc,Jordan,13/11/2017,2017,,,
30877,48,ivory garment factory llc,Jordan,13/11/2018,2018,,,
37492,48,ivory garment factory llc,Jordan,20/11/2019,2019,,,
43045,48,ivory garment factory llc,Jordan,14/07/2021,2021,,,
10518,49,"Shinsung Vina Co., Ltd.",Vietnam,18/08/2015,2015,,,
16667,49,"Shinsung Vina Co., Ltd.",Vietnam,20/09/2016,2016,,,
25034,49,"Shinsung Vina Co., Ltd.",Vietnam,24/01/2018,2018,,,
32722,49,"Shinsung Vina Co., Ltd.",Vietnam,12/03/2019,2019,,,
39172,49,"Shinsung Vina Co., Ltd.",Vietnam,17/03/2020,2020,,,
10903,50,"NB Blue Co., Ltd.",Vietnam,08/09/2015,2015,,,
18144,50,"NB Blue Co., Ltd.",Vietnam,03/01/2017,2017,,,
25013,50,"NB Blue Co., Ltd.",Vietnam,09/01/2018,2018,,,
8585,51,"Trida Co., Ltd.",Vietnam,31/03/2015,2015,,,
15134,51,"Trida Co., Ltd.",Vietnam,14/06/2016,2016,,,
24475,51,"Trida Co., Ltd.",Vietnam,28/12/2017,2017,,,
38214,51,"Trida Co., Ltd.",Vietnam,14/01/2020,2020,,,
41665,51,"Trida Co., Ltd.",Vietnam,02/03/2021,2021,,,
10970,53,"Hansae TN Co., Ltd.",Vietnam,29/09/2015,2015,,,
17752,53,"Hansae TN Co., Ltd.",Vietnam,30/11/2016,2016,,,
24114,53,Hansae TN Co. Ltd.,Vietnam,15/11/2017,2017,,,
37536,53,"Hansae TN Co., Ltd.",Vietnam,26/11/2019,2019,,,
40921,53,"Hansae TN Co., Ltd.",Vietnam,08/12/2020,2020,,,
11898,54,"Saitex International Dong Nai (VN) Co., Ltd.",Vietnam,03/11/2015,2015,,,
17775,54,"Saitex International Dong Nai (VN) Co., Ltd.",Vietnam,29/11/2016,2016,,,
24797,54,"Saitex International Dong Nai (VN) Co., Ltd.",Vietnam,27/12/2017,2017,,,
38314,54,"Saitex International Dong Nai (VN) Co., Ltd.",Vietnam,07/01/2020,2020,,,
41279,54,"Saitex International Dong Nai (VN) Co., Ltd.",Vietnam,12/01/2021,2021,,,
11053,55,Hansae Vietnam Co. Ltd.,Vietnam,29/09/2015,2015,,,
17173,55,Hansae Vietnam Co. Ltd.,Vietnam,11/10/2016,2016,,,
22756,55,Hansae Vietnam Co. Ltd.,Vietnam,03/10/2017,2017,,,
29933,55,Hansae Vietnam Co. Ltd.,Vietnam,25/09/2018,2018,,,
36550,55,Hansae Vietnam Co. Ltd.,Vietnam,08/10/2019,2019,,,
40357,55,Hansae Vietnam Co. Ltd.,Vietnam,20/10/2020,2020,,,
10967,59,Mas Al Safi Apparel Mfg.,Jordan,25/08/2015,2015,,,
15431,59,Mas Al Safi Apparel Mfg.,Jordan,26/06/2016,2016,,,
21093,59,Mas Al Safi Apparel Mfg.,Jordan,10/07/2017,2017,,,
26191,59,Mas Al Safi Apparel Mfg.,Jordan,25/03/2018,2018,,,
33442,59,Mas Al Safi Apparel Mfg.,Jordan,31/03/2019,2019,,,
39660,59,Mas Al Safi Apparel Mfg.,Jordan,12/07/2020,2020,,,
42548,59,Mas Al Safi Apparel Mfg.,Jordan,26/05/2021,2021,,,
8785,60,Standard Textile Jordan (Obsolete),Jordan,28/04/2015,2015,,,
14547,60,Standard Textile Jordan (Obsolete),Jordan,18/04/2016,2016,,,
21036,60,Standard Textile Jordan,Jordan,14/05/2017,2017,,,
27516,60,Standard Textile Jordan,Jordan,13/06/2018,2018,,,
34678,60,Standard Textile Jordan (Obsolete),Jordan,19/06/2019,2019,,,
8886,61,Al Hanan for Cloth Mfg. Est.,Jordan,18/05/2015,2015,,,
15050,61,Al Hanan for Cloth Mfg. Est.,Jordan,28/05/2016,2016,,,
19397,61,Al Hanan for Cloth Mfg. Est.,Jordan,29/03/2017,2017,,,
26366,61,Al Hanan for Cloth Mfg. Est.,Jordan,27/03/2018,2018,,,
33567,61,Al Hanan for Cloth Mfg. Est.,Jordan,14/04/2019,2019,,,
41657,61,Al Hanan for Cloth Mfg. Est.,Jordan,23/02/2021,2021,,,
10607,62,lee and suy vina,Vietnam,25/08/2015,2015,,,
16549,62,lee and suy vina,Vietnam,14/09/2016,2016,,,
22639,62,lee and suy vina,Vietnam,26/09/2017,2017,,,
30765,62,lee and suy vina,Vietnam,13/11/2018,2018,,,
38589,62,lee and suy vina,Vietnam,11/02/2020,2020,,,
41212,62,lee and suy vina,Vietnam,20/01/2021,2021,,,
11487,63,Lotus Textile & Garment Co. Ltd.,Vietnam,13/10/2015,2015,,,
18093,63,Lotus Textile & Garment Co. Ltd.,Vietnam,22/12/2016,2016,,,
24956,63,Lotus Textile & Garment Co. Ltd.,Vietnam,23/01/2018,2018,,,
31632,63,Lotus Textile & Garment Co. Ltd.,Vietnam,02/01/2019,2019,,,
39339,63,Lotus Textile & Garment Co. Ltd.,Vietnam,05/05/2020,2020,,,
41916,63,Lotus Textile & Garment Co. Ltd.,Vietnam,30/03/2021,2021,,,
11639,64,Premium Apparel,Haiti,06/10/2015,2015,,,
17190,64,Premium Apparel,Haiti,11/10/2016,2016,,,
22796,64,Premium Apparel,Haiti,09/08/2017,2017,,,
30391,64,Premium Apparel,Haiti,08/08/2018,2018,,,
35895,64,Premium Apparel,Haiti,27/08/2019,2019,,,
10380,72,AL Masera Textile,Jordan,17/08/2015,2015,,,
16169,72,AL Masera Textile,Jordan,21/08/2016,2016,,,
21386,72,AL Masera Textile,Jordan,26/07/2017,2017,,,
28461,72,AL Masera Textile,Jordan,22/07/2018,2018,,,
34843,72,AL Masera Textile,Jordan,10/07/2019,2019,,,
39725,72,AL Masera Textile,Jordan,11/08/2020,2020,,,
8359,74,King Star Garment Co. Ltd.,Vietnam,03/02/2015,2015,,,
14908,74,King Star Garment Co. Ltd.,Vietnam,24/05/2016,2016,,,
20447,74,King Star Garment Co. Ltd.,Vietnam,30/05/2017,2017,,,
27356,74,King Star Garment Co. Ltd.,Vietnam,15/05/2018,2018,,,
34466,74,King Star Garment Co. Ltd.,Vietnam,18/06/2019,2019,,,
8689,75,Saigon 3 Garment JSC - Hiep Binh Phuoc and Minako Factory- Branches of Saigon 3,Vietnam,06/04/2015,2015,,,
18042,75,Saigon 3 Garment JSC - Hiep Binh Phuoc and Minako Factory- Branches of Saigon 3,Vietnam,20/12/2016,2016,,,
39243,75,Saigon 3 Garment JSC - Hiep Binh Phuoc and Minako Factory- Branches of Saigon 3,Vietnam,24/03/2020,2020,,,
42177,75,Saigon 3 Garment JSC - Hiep Binh Phuoc and Minako Factory- Branches of Saigon 3,Vietnam,22/04/2021,2021,,,
11341,77,"Hansoll Vina Co., Ltd.",Vietnam,24/09/2015,2015,,,
17170,77,"Hansoll Vina Co., Ltd.",Vietnam,25/10/2016,2016,,,
23212,77,Hansoll Vina Co. Ltd.,Vietnam,07/11/2017,2017,,,
30184,77,Hansoll Vina Co. Ltd.,Vietnam,16/10/2018,2018,,,
37200,77,"Hansoll Vina Co., Ltd.",Vietnam,19/11/2019,2019,,,
40760,77,"Hansoll Vina Co., Ltd.",Vietnam,14/12/2020,2020,,,
9921,78,"Chutex International Co., Ltd.",Vietnam,07/07/2015,2015,,,
16137,78,"Chutex International Co., Ltd.",Vietnam,16/08/2016,2016,,,
22235,78,Chutex International Co. Ltd.,Vietnam,12/09/2017,2017,,,
30124,78,Chutex International Co. Ltd.,Vietnam,09/10/2018,2018,,,
37127,78,"Chutex International Co., Ltd.",Vietnam,11/11/2019,2019,,,
40746,78,"Chutex International Co., Ltd.",Vietnam,17/11/2020,2020,,,
12398,80,Nobland Vietnam Co. Ltd.,Vietnam,15/12/2015,2015,,,
17845,80,Nobland Vietnam Co. Ltd.,Vietnam,29/11/2016,2016,,,
23889,80,Nobland Vietnam Co. Ltd.,Vietnam,28/11/2017,2017,,,
30565,80,Nobland Vietnam Co. Ltd.,Vietnam,06/11/2018,2018,,,
37614,80,Nobland Vietnam Co. Ltd.,Vietnam,03/12/2019,2019,,,
11342,81,"Sarah Co., Ltd.",Vietnam,13/10/2015,2015,,,
17022,81,"Sarah Co., Ltd.",Vietnam,18/10/2016,2016,,,
24344,81,"Sarah Co., Ltd.",Vietnam,19/12/2017,2017,,,
38490,81,"Sarah Co., Ltd.",Vietnam,11/02/2020,2020,,,
42186,81,"Sarah Co., Ltd.",Vietnam,28/04/2021,2021,,,
12366,82,"Poong In Vina Co., Ltd.",Vietnam,15/12/2015,2015,,,
18000,82,"Poong In Vina Co., Ltd.",Vietnam,20/12/2016,2016,,,
24256,82,"Poong In Vina Co., Ltd.",Vietnam,20/12/2017,2017,,,
37924,82,"Poong In Vina Co., Ltd.",Vietnam,02/01/2020,2020,,,
41242,82,"Poong In Vina Co., Ltd.",Vietnam,19/01/2021,2021,,,
9095,83,Camel Textile International Corp.(Inactive),Jordan,17/05/2015,2015,,,
14706,83,Camel Textile International Corp.(Inactive),Jordan,09/05/2016,2016,,,
19779,83,Camel Textile International Corp.,Jordan,24/04/2017,2017,,,
26772,83,Camel Textile International Corp.,Jordan,15/04/2018,2018,,,
33478,83,Camel Textile International Corp.(Inactive),Jordan,22/04/2019,2019,,,
39546,83,Camel Textile International Corp.(Inactive),Jordan,28/06/2020,2020,,,
8410,84,"Domex (Vietnam) Co., Ltd.",Vietnam,03/03/2015,2015,,,
14513,84,"Domex (Vietnam) Co., Ltd.",Vietnam,27/04/2016,2016,,,
19922,84,"Domex (Vietnam) Co., Ltd.",Vietnam,25/04/2017,2017,,,
26388,84,"Domex (Vietnam) Co., Ltd.",Vietnam,03/04/2018,2018,,,
33172,84,"Domex (Vietnam) Co., Ltd.",Vietnam,02/04/2019,2019,,,
39327,84,"Domex (Vietnam) Co., Ltd.",Vietnam,05/05/2020,2020,,,
42090,84,"Domex (Vietnam) Co., Ltd.",Vietnam,20/04/2021,2021,,,
10174,85,United Creations L.L.C.,Jordan,26/07/2015,2015,,,
15974,85,United Creations L.L.C.,Jordan,27/07/2016,2016,,,
20996,85,United Creations L.L.C.,Jordan,18/06/2017,2017,,,
28493,85,United Creations L.L.C.,Jordan,17/07/2018,2018,,,
34918,85,United Creations L.L.C.,Jordan,14/07/2019,2019,,,
39841,85,United Creations L.L.C.,Jordan,23/08/2020,2020,,,
12354,86,Jiangsu Jing Meng Vietnam Co. Ltd.,Vietnam,24/11/2015,2015,,,
17853,86,Jiangsu Jing Meng Vietnam Co. Ltd.,Vietnam,06/12/2016,2016,,,
25308,86,Jiangsu Jing Meng Vietnam Co. Ltd.,Vietnam,23/01/2018,2018,,,
31845,86,Jiangsu Jing Meng Vietnam Co. Ltd.,Vietnam,22/01/2019,2019,,,
38238,86,Jiangsu Jing Meng Vietnam Co. Ltd.,Vietnam,14/01/2020,2020,,,
41727,86,Jiangsu Jing Meng Vietnam Co. Ltd.,Vietnam,04/03/2021,2021,,,
9970,89,"O-Sung Vina Co., Ltd.",Vietnam,21/07/2015,2015,,,
16218,89,"O-Sung Vina Co., Ltd.",Vietnam,18/08/2016,2016,,,
22633,89,"O-Sung Vina Co., Ltd.",Vietnam,26/09/2017,2017,,,
29932,89,"O-Sung Vina Co., Ltd.",Vietnam,02/10/2018,2018,,,
37619,89,"O-Sung Vina Co., Ltd.",Vietnam,10/12/2019,2019,,,
40740,89,"O-Sung Vina Co., Ltd.",Vietnam,24/11/2020,2020,,,
9499,90,Third Dimension Apparel L.L.C. (Obsolete),Jordan,15/06/2015,2015,,,
15443,90,Third Dimension Apparel L.L.C. (Obsolete),Jordan,19/06/2016,2016,,,
22171,90,Third Dimension Apparel L.L.C.,Jordan,22/08/2017,2017,,,
28714,90,Third Dimension Apparel L.L.C.,Jordan,12/08/2018,2018,,,
35714,90,Third Dimension Apparel L.L.C. (Obsolete),Jordan,26/08/2019,2019,,,
12466,91,"T & T Co., Ltd.",Vietnam,22/12/2015,2015,,,
18063,91,"T & T Co., Ltd.",Vietnam,03/01/2017,2017,,,
24492,91,"T & T Co., Ltd.",Vietnam,03/01/2018,2018,,,
31689,91,"T & T Co., Ltd.",Vietnam,08/01/2019,2019,,,
38487,91,"T & T Co., Ltd.",Vietnam,11/02/2020,2020,,,
41415,91,"T & T Co., Ltd.",Vietnam,26/01/2021,2021,,,
10263,93,"Shillabags International Co, Ltd.",Vietnam,04/08/2015,2015,,,
16267,93,"Shillabags International Co, Ltd.",Vietnam,23/08/2016,2016,,,
24037,93,"Shillabags International Co, Ltd.",Vietnam,05/12/2017,2017,,,
38943,93,"Shillabags International Co, Ltd.",Vietnam,25/02/2020,2020,,,
41999,93,"Shillabags International Co, Ltd.",Vietnam,06/04/2021,2021,,,
12700,94,"King Hung Garments Industrial Co., Ltd.",Vietnam,29/12/2015,2015,,,
19180,94,King Hung Garments Industrial Co. Ltd.,Vietnam,14/03/2017,2017,,,
28997,94,King Hung Garments Industrial Co. Ltd.,Vietnam,14/08/2018,2018,,,
36042,94,"King Hung Garments Industrial Co., Ltd.",Vietnam,10/09/2019,2019,,,
40790,94,"King Hung Garments Industrial Co., Ltd.",Vietnam,08/12/2020,2020,,,
8744,95,"Jung Kwang Vietnam Co., Ltd.",Vietnam,14/04/2015,2015,,,
14412,95,"Jung Kwang Vietnam Co., Ltd.",Vietnam,04/05/2016,2016,,,
21266,95,"Jung Kwang Vietnam Co., Ltd.",Vietnam,18/07/2017,2017,,,
28353,95,"Jung Kwang Vietnam Co., Ltd.",Vietnam,10/07/2018,2018,,,
34937,95,"Jung Kwang Vietnam Co., Ltd.",Vietnam,16/07/2019,2019,,,
39836,95,"Jung Kwang Vietnam Co., Ltd.",Vietnam,18/08/2020,2020,,,
8916,101,"Tae Young Vina Co., Ltd.",Vietnam,05/05/2015,2015,,,
17978,101,"Tae Young Vina Co., Ltd.",Vietnam,20/12/2016,2016,,,
25681,101,"Tae Young Vina Co., Ltd.",Vietnam,27/02/2018,2018,,,
11279,102,"Eins Vina Co., Ltd.",Vietnam,13/10/2015,2015,,,
16483,102,"Eins Vina Co., Ltd.",Vietnam,07/09/2016,2016,,,
23337,102,"Eins Vina Co., Ltd.",Vietnam,31/10/2017,2017,,,
29507,102,"Eins Vina Co., Ltd.",Vietnam,18/09/2018,2018,,,
36568,102,"Eins Vina Co., Ltd.",Vietnam,07/10/2019,2019,,,
40275,102,"Eins Vina Co., Ltd.",Vietnam,14/10/2020,2020,,,
27762,103,Jerash Garments and Fashions Manufacturing Co. Ltd (Unit 2),Jordan,24/06/2018,2018,,,
34622,103,Jerash Garments and Fashions Mfg. Co. Ltd (Unit 2),Jordan,30/06/2019,2019,,,
39646,103,Jerash Garments and Fashions Mfg. Co. Ltd (Unit 2),Jordan,19/07/2020,2020,,,
43528,103,Jerash Garments and Fashions Mfg. Co. Ltd (Unit 2),Jordan,16/08/2021,2021,,,
11714,105,"FTN Vietnam Co., Ltd.",Vietnam,27/10/2015,2015,,,
17870,105,"FTN Vietnam Co., Ltd.",Vietnam,06/12/2016,2016,,,
24757,105,"FTN Vietnam Co., Ltd.",Vietnam,10/01/2018,2018,,,
31646,105,"FTN Vietnam Co., Ltd.",Vietnam,03/01/2019,2019,,,
38000,105,"FTN Vietnam Co., Ltd.",Vietnam,02/01/2020,2020,,,
41462,105,"FTN Vietnam Co., Ltd.",Vietnam,26/01/2021,2021,,,
8702,106,All Super Enterprise (Vietnam) Ltd.,Vietnam,15/04/2015,2015,,,
14213,106,All Super Enterprise (Vietnam) Ltd.,Vietnam,19/04/2016,2016,,,
20189,106,All Super Enterprise (Vietnam) Ltd.,Vietnam,16/05/2017,2017,,,
11701,108,Prestige Apparel Mfg. Ltd. Co.,Jordan,21/09/2015,2015,,,
17191,108,Prestige Apparel Mfg. Ltd. Co.,Jordan,21/09/2016,2016,,,
22166,108,Prestige Apparel Mfg. Ltd. Co.,Jordan,27/08/2017,2017,,,
29064,108,Prestige Apparel Mfg. Ltd. Co.,Jordan,08/08/2018,2018,,,
35951,108,Prestige Apparel Mfg. Ltd. Co.,Jordan,09/09/2019,2019,,,
41734,108,Prestige Apparel Mfg. Ltd. Co.,Jordan,25/02/2021,2021,,,
13114,109,Atlanta Garment Mfg. Co.,Jordan,08/12/2015,2015,,,
17937,109,Atlanta Garment Mfg. Co.,Jordan,13/12/2016,2016,,,
23753,109,Atlanta Garment Mfg. Co.,Jordan,19/11/2017,2017,,,
30598,109,Atlanta Garment Mfg. Co.,Jordan,11/11/2018,2018,,,
37014,109,Atlanta Garment Mfg. Co.,Jordan,05/11/2019,2019,,,
40951,109,Atlanta Garment Mfg. Co.,Jordan,16/12/2020,2020,,,
8693,110,"Green Vina Co., Ltd.",Vietnam,14/04/2015,2015,,,
14679,110,"Green Vina Co., Ltd.",Vietnam,17/05/2016,2016,,,
20490,110,"Green Vina Co., Ltd.",Vietnam,30/05/2017,2017,,,
27347,110,"Green Vina Co., Ltd.",Vietnam,22/05/2018,2018,,,
34234,110,"Green Vina Co., Ltd.",Vietnam,12/06/2019,2019,,,
39458,110,"Green Vina Co., Ltd.",Vietnam,16/06/2020,2020,,,
42376,110,"Green Vina Co., Ltd.",Vietnam,18/05/2021,2021,,,
8730,111,"Avery Dennison RIS Vietnam Co., Ltd.",Vietnam,31/03/2015,2015,,,
12547,111,"Avery Dennison RIS Vietnam Co., Ltd.",Vietnam,29/12/2015,2015,,,
19048,111,Avery Dennison RIS Vietnam,Vietnam,07/03/2017,2017,,,
26941,111,Avery Dennison RIS Vietnam,Vietnam,03/05/2018,2018,,,
33256,111,"Avery Dennison RIS Vietnam Co., Ltd.",Vietnam,09/04/2019,2019,,,
39353,111,"Avery Dennison RIS Vietnam Co., Ltd.",Vietnam,12/05/2020,2020,,,
42431,111,"Avery Dennison RIS Vietnam Co., Ltd.",Vietnam,25/05/2021,2021,,,
12810,112,Casual Wear Apparel L.L.C.,Jordan,13/12/2015,2015,,,
17838,112,Casual Wear Apparel L.L.C.,Jordan,06/12/2016,2016,,,
23829,112,Casual Wear Apparel L.L.C.,Jordan,20/11/2017,2017,,,
30620,112,Casual Wear Apparel L.L.C.,Jordan,18/11/2018,2018,,,
37413,112,Casual Wear Apparel L.L.C.,Jordan,24/11/2019,2019,,,
42375,112,Casual Wear Apparel L.L.C.,Jordan,17/05/2021,2021,,,
14617,117,yung wah industrial (cambodia),Cambodia,19/04/2016,2016,,,
20614,117,yung wah industrial (cambodia),Cambodia,17/05/2017,2017,,,
28324,117,yung wah industrial (cambodia),Cambodia,07/06/2018,2018,,,
34090,117,yung wah industrial (cambodia),Cambodia,05/06/2019,2019,,,
8616,118,Viet Hung JSC.,Vietnam,24/03/2015,2015,,,
14511,118,Viet Hung JSC.,Vietnam,05/05/2016,2016,,,
20288,118,Viet Hung JSC.,Vietnam,16/05/2017,2017,,,
29147,118,Viet Hung JSC.,Vietnam,21/08/2018,2018,,,
35759,118,Viet Hung JSC.,Vietnam,29/08/2019,2019,,,
40244,118,Viet Hung JSC.,Vietnam,07/10/2020,2020,,,
13145,119,"Unison Garments Co., Ltd.",Cambodia,28/01/2016,2016,,,
9208,120,"TGMB&N Garment (Cambodia) Co.,Ltd (formerly B & N Garment (Cambodia) Co.,Ltd)",Cambodia,11/05/2015,2015,,,
8514,121,"CCH TOP (VN) Co., Ltd.",Vietnam,24/03/2015,2015,,,
14332,121,"CCH TOP (VN) Co., Ltd.",Vietnam,19/04/2016,2016,,,
20204,121,"CCH TOP (VN) Co., Ltd.",Vietnam,16/05/2017,2017,,,
27605,121,"CCH TOP (VN) Co., Ltd.",Vietnam,05/06/2018,2018,,,
34355,121,"CCH TOP (VN) Co., Ltd.",Vietnam,11/06/2019,2019,,,
39554,121,"CCH TOP (VN) Co., Ltd.",Vietnam,30/06/2020,2020,,,
10373,124,"KL Texwell Vina Co., Ltd.",Vietnam,04/08/2015,2015,,,
16925,124,"KL Texwell Vina Co., Ltd.",Vietnam,04/10/2016,2016,,,
22991,124,"KL Texwell Vina Co., Ltd.",Vietnam,05/10/2017,2017,,,
