QuestID,FactoryAssessedID,buyer1name,buyer2name,buyer3name,buyer1pol19,buyer1gov19,buyer1trace19,buyer2trace19,buyer3trace19,buyertracemx19,buyer1know19,buyer2know19,buyer3know19,buyerknowmx19
27360,28,dickies,fishman tobin,strategic patners (spi),0,0,0,0,0,0,0,0,0,0
34961,28,dickies,fishman tobin,strategic patners (spi),0,0,0,0,0,0,0,0,0,0
41809,28,dickies,fishman tobin,strategic patners (spi),0,0,0,0,0,0,0,0,0,0
9868,29,,,,0,0,0,0,0,0,0,0,0,0
10030,31,peace textile amercia inc,bioworld,kohl's,0,0,0,0,1,1,0,0,1,1
15576,31,peace textile amercia inc,bioworld,kohl's,0,0,0,0,1,1,0,0,1,1
21199,31,peace textile amercia inc,bioworld,kohl's,0,0,0,0,1,1,0,0,1,1
29065,31,peace textile amercia inc,bioworld,kohl's,0,0,0,0,1,1,0,0,1,1
34890,31,peace textile amercia inc,bioworld,kohl's,0,0,0,0,1,1,0,0,1,1
9530,33,gildan,,,7,5,5,0,0,5,3,0,0,3
14358,33,gildan,,,7,5,5,0,0,5,3,0,0,3
20301,33,gildan,,,7,5,5,0,0,5,3,0,0,3
29004,33,gildan,,,7,5,5,0,0,5,3,0,0,3
35668,33,gildan,,,7,5,5,0,0,5,3,0,0,3
12894,35,,,,0,0,0,0,0,0,0,0,0,0
12665,36,levis,under armour,carhartt,9,5,5,3,0,5,4,2,0,4
17654,36,levis,under armour,carhartt,9,5,5,3,0,5,4,2,0,4
26954,36,levis,under armour,carhartt,9,5,5,3,0,5,4,2,0,4
33353,36,levis,under armour,carhartt,9,5,5,3,0,5,4,2,0,4
39334,36,levis,under armour,carhartt,9,5,5,3,0,5,4,2,0,4
8197,36,,,,0,0,0,0,0,0,0,0,0,0
13317,39,under armour,nike,spanx,7,2,3,7,0,7,2,4,0,4
17500,39,under armour,nike,spanx,7,2,3,7,0,7,2,4,0,4
22762,39,under armour,nike,spanx,7,2,3,7,0,7,2,4,0,4
9626,43,fishman & tobin,augusta/holloway,champro/eastbay,0,0,0,0,0,0,0,0,0,0
17216,43,fishman & tobin,augusta/holloway,champro/eastbay,0,0,0,0,0,0,0,0,0,0
24033,43,fishman & tobin,augusta/holloway,champro/eastbay,0,0,0,0,0,0,0,0,0,0
30421,43,fishman & tobin,augusta/holloway,champro/eastbay,0,0,0,0,0,0,0,0,0,0
35820,43,fishman & tobin,augusta/holloway,champro/eastbay,0,0,0,0,0,0,0,0,0,0
12535,48,jones apparel,supreme international,perry ellis,0,0,0,0,0,0,0,0,0,0
18022,48,jones apparel,supreme international,perry ellis,0,0,0,0,0,0,0,0,0,0
23418,48,jones apparel,supreme international,perry ellis,0,0,0,0,0,0,0,0,0,0
30877,48,jones apparel,supreme international,perry ellis,0,0,0,0,0,0,0,0,0,0
37492,48,jones apparel,supreme international,perry ellis,0,0,0,0,0,0,0,0,0,0
43045,48,jones apparel,supreme international,perry ellis,0,0,0,0,0,0,0,0,0,0
10518,49,eddie bauer,abercrombie & fitch,,2,1,1,1,0,1,1,3,0,3
16667,49,eddie bauer,abercrombie & fitch,,2,1,1,1,0,1,1,3,0,3
25034,49,eddie bauer,abercrombie & fitch,,2,1,1,1,0,1,1,3,0,3
32722,49,eddie bauer,abercrombie & fitch,,2,1,1,1,0,1,1,3,0,3
39172,49,eddie bauer,abercrombie & fitch,,2,1,1,1,0,1,1,3,0,3
10903,50,target,carter's,land's end,8,4,2,0,1,2,5,0,2,5
18144,50,target,carter's,land's end,8,4,2,0,1,2,5,0,2,5
25013,50,target,carter's,land's end,8,4,2,0,1,2,5,0,2,5
8585,51,american eagle,jockey,charlotte russe,5,3,1,0,0,1,1,0,0,1
15134,51,american eagle,jockey,charlotte russe,5,3,1,0,0,1,1,0,0,1
24475,51,american eagle,jockey,charlotte russe,5,3,1,0,0,1,1,0,0,1
38214,51,american eagle,jockey,charlotte russe,5,3,1,0,0,1,1,0,0,1
41665,51,american eagle,jockey,charlotte russe,5,3,1,0,0,1,1,0,0,1
10970,53,gap,target,kohl's,10,5,5,2,1,5,5,5,1,5
17752,53,gap,target,kohl's,10,5,5,2,1,5,5,5,1,5
24114,53,gap,target,kohl's,10,5,5,2,1,5,5,5,1,5
37536,53,gap,target,kohl's,10,5,5,2,1,5,5,5,1,5
40921,53,gap,target,kohl's,10,5,5,2,1,5,5,5,1,5
11898,54,buckle,g-star international,pvh,4,2,1,0,0,1,1,0,0,1
17775,54,buckle,g-star international,pvh,4,2,1,0,0,1,1,0,0,1
24797,54,buckle,g-star international,pvh,4,2,1,0,0,1,1,0,0,1
38314,54,buckle,g-star international,pvh,4,2,1,0,0,1,1,0,0,1
41279,54,buckle,g-star international,pvh,4,2,1,0,0,1,1,0,0,1
11053,55,gap,victoria secret,kohl's,10,5,5,2,1,5,5,2,1,5
17173,55,gap,victoria secret,kohl's,10,5,5,2,1,5,5,2,1,5
22756,55,gap,victoria secret,kohl's,10,5,5,2,1,5,5,2,1,5
29933,55,gap,victoria secret,kohl's,10,5,5,2,1,5,5,2,1,5
36550,55,gap,victoria secret,kohl's,10,5,5,2,1,5,5,2,1,5
40357,55,gap,victoria secret,kohl's,10,5,5,2,1,5,5,2,1,5
10967,59,hanesbrands,fruit of the loom,new balance,5,2,5,0,5,5,2,0,4,4
15431,59,hanesbrands,fruit of the loom,new balance,5,2,5,0,5,5,2,0,4,4
21093,59,hanesbrands,fruit of the loom,new balance,5,2,5,0,5,5,2,0,4,4
26191,59,hanesbrands,fruit of the loom,new balance,5,2,5,0,5,5,2,0,4,4
33442,59,hanesbrands,fruit of the loom,new balance,5,2,5,0,5,5,2,0,4,4
39660,59,hanesbrands,fruit of the loom,new balance,5,2,5,0,5,5,2,0,4,4
42548,59,hanesbrands,fruit of the loom,new balance,5,2,5,0,5,5,2,0,4,4
8785,60,cintas,standard,,0,0,0,0,0,0,0,0,0,0
14547,60,cintas,standard,,0,0,0,0,0,0,0,0,0,0
21036,60,cintas,standard,,0,0,0,0,0,0,0,0,0,0
27516,60,cintas,standard,,0,0,0,0,0,0,0,0,0,0
34678,60,cintas,standard,,0,0,0,0,0,0,0,0,0,0
8886,61,hitex,,,0,0,0,0,0,0,0,0,0,0
15050,61,hitex,,,0,0,0,0,0,0,0,0,0,0
19397,61,hitex,,,0,0,0,0,0,0,0,0,0,0
26366,61,hitex,,,0,0,0,0,0,0,0,0,0,0
33567,61,hitex,,,0,0,0,0,0,0,0,0,0,0
41657,61,hitex,,,0,0,0,0,0,0,0,0,0,0
10607,62,ann taylor,talbots,land's end,0,0,0,0,1,1,0,0,2,2
16549,62,ann taylor,talbots,land's end,0,0,0,0,1,1,0,0,2,2
22639,62,ann taylor,talbots,land's end,0,0,0,0,1,1,0,0,2,2
30765,62,ann taylor,talbots,land's end,0,0,0,0,1,1,0,0,2,2
38589,62,ann taylor,talbots,land's end,0,0,0,0,1,1,0,0,2,2
41212,62,ann taylor,talbots,land's end,0,0,0,0,1,1,0,0,2,2
11487,63,under armour,ralph lauren,j.crew,7,2,3,1,1,3,2,2,1,2
18093,63,under armour,ralph lauren,j.crew,7,2,3,1,1,3,2,2,1,2
24956,63,under armour,ralph lauren,j.crew,7,2,3,1,1,3,2,2,1,2
31632,63,under armour,ralph lauren,j.crew,7,2,3,1,1,3,2,2,1,2
39339,63,under armour,ralph lauren,j.crew,7,2,3,1,1,3,2,2,1,2
41916,63,under armour,ralph lauren,j.crew,7,2,3,1,1,3,2,2,1,2
11639,64,gildan,,,7,5,5,0,0,5,3,0,0,3
17190,64,gildan,,,7,5,5,0,0,5,3,0,0,3
22796,64,gildan,,,7,5,5,0,0,5,3,0,0,3
30391,64,gildan,,,7,5,5,0,0,5,3,0,0,3
35895,64,gildan,,,7,5,5,0,0,5,3,0,0,3
10380,72,under armour,adidas,,7,2,3,6,0,6,2,6,0,6
16169,72,under armour,adidas,,7,2,3,6,0,6,2,6,0,6
21386,72,under armour,adidas,,7,2,3,6,0,6,2,6,0,6
28461,72,under armour,adidas,,7,2,3,6,0,6,2,6,0,6
34843,72,under armour,adidas,,7,2,3,6,0,6,2,6,0,6
39725,72,under armour,adidas,,7,2,3,6,0,6,2,6,0,6
8359,74,cato corporation,"charles komar and sons, inc",figs,0,0,0,0,0,0,0,0,0,0
14908,74,cato corporation,"charles komar and sons, inc",figs,0,0,0,0,0,0,0,0,0,0
20447,74,cato corporation,"charles komar and sons, inc",figs,0,0,0,0,0,0,0,0,0,0
27356,74,cato corporation,"charles komar and sons, inc",figs,0,0,0,0,0,0,0,0,0,0
34466,74,cato corporation,"charles komar and sons, inc",figs,0,0,0,0,0,0,0,0,0,0
8689,75,,,,0,0,0,0,0,0,0,0,0,0
18042,75,,,,0,0,0,0,0,0,0,0,0,0
