repriskID,company_name,headquarters_country,headquarters_country_isocode,sectors,url,isins,primary_isin,no_reported_risk_exposure,cName
2546797,Gimo JSC,Vietnam,VN,Support Services (Industrial Goods and Services),https://gimo.vn/en/home/,,,1,gimo jsc
254685,Budi Andalan Agro; PT,Indonesia,ID,Food and Beverage | Retail,,,,1,budi andalan agro pt
254694,Lahai Coal; PT,Indonesia,ID,Mining,,,,0,lahai coal pt
2546973,New Lifestyle Service Corp (N Life; Dich vu Phong Cach Song Moi; CTCP),Vietnam,VN,Support Services (Industrial Goods and Services),,,,1,new lifestyle service corp
2547176,VNLIFE Corporation JSC (VNLIFE),Vietnam,VN,Financial Services,https://vnlife.vn/,,,1,vnlife corp jsc
2547268,Sinfa Knitters Ltd; The,Bangladesh,BD,Personal and Household Goods,,,,0,sinfa knitters ltd the
2547293,Diori; CV,Indonesia,ID,Construction and Materials,,,,0,diori cv
2547325,Kurnia Artha Pratiwi; PT,Indonesia,ID,Chemicals,,,,1,kurnia artha pratiwi pt
2547594,Agro Pratama Sejahtera; PT,Indonesia,ID,Forestry,,,,0,agro pratama sejahtera pt
2547595,Narina Keisha Imani; PT,Indonesia,ID,Forestry,,,,0,narina keisha imani pt
2547711,Gandasari Energi; PT,Indonesia,ID,Industrial Transportation | Industrial Metals,https://gandasarienergi.co.id/,,,0,gandasari energi pt
2547771,Kebon Agung; PT,Indonesia,ID,Food and Beverage,https://www.ptkebonagung.com/,,,0,kebon agung pt
2547917,Karya Mitra Budi Sentosa; PT,Indonesia,ID,Personal and Household Goods,,,,0,karya mitra budi sentosa pt
2547949,Perumda Aneka Usaha dan Jasa (Perusahaan Umum Daerah Tarakan Aneka Usaha dan Jasa),Indonesia,ID,Industrial Transportation | Support Services (Industrial Goods and Services),http://anekausaha.tarakankota.go.id/,,,0,perumda aneka usaha dan jasa
2547954,Laut Bontang Bersinar; PT,Indonesia,ID,Support Services (Industrial Goods and Services),,,,0,laut bontang bersinar pt
2548152,Koda Saigon Co Ltd,Vietnam,VN,Personal and Household Goods,,,,1,koda saigon
2548207,Nexis Energi Investama; PT,Indonesia,ID,Mining,https://www.bombagrup.com/en/our-business/coal-mining.html,,,0,nexis energi investama pt
2548209,Bumi Merapi Energi; PT,Indonesia,ID,Mining,,,,0,bumi merapi energi pt
2548216,Bangun Minanga Lestari; PT,Indonesia,ID,Financial Services,https://www.bmlproperty.id/,,,0,bangun minanga lestari pt
2548289,Kita Lulus International; PT,Indonesia,ID,Support Services (Industrial Goods and Services) | Software and Computer Services,https://www.kitalulus.com/,,,1,kita lulus international pt
2548351,Cakra Singgih Energi; CV,Indonesia,ID,Support Services (Industrial Goods and Services),,,,0,cakra singgih energi cv
2548383,Rene Beton; CV,Indonesia,ID,Construction and Materials,,,,0,rene beton cv
2548783,Nusa Dua Propertindo; PT,Indonesia,ID,Food and Beverage,https://ptpn2.com/?page_id=232,,,0,nusa dua propertindo pt
2548804,Lido Nirwana Parahyangan; PT,Indonesia,ID,Travel and Leisure,,,,0,lido nirwana parahyangan pt
2548892,Friendly Green Environment JSC,Vietnam,VN,Support Services (Industrial Goods and Services),,,,0,friendly green environment jsc
2549065,Alam Mega Jaya Palu; CV,Indonesia,ID,Food and Beverage,,,,0,alam mega jaya palu cv
2549385,Vina Prauden Co Ltd (Cong Ty Tnhh Mot Thanh Vien Vina Prauden),Vietnam,VN,Personal and Household Goods,,,,0,vina prauden
2549386,Nam Vu Down & Feathers Jsc,Vietnam,VN,Personal and Household Goods,https://namvudown.com/language/en/home/,,,0,nam vu down and feathers jsc
2549536,An Binh Commercial Joint Stock Bank (ABBANK; Ngan Hang TMCP An Binh),Vietnam,VN,Banks,https://www.abbank.vn/,,,1,an binh commercial joint stock bank
2549612,Mora Telematika Indonesia Tbk; PT (Moratelindo; PT),Indonesia,ID,Telecommunications,https://www.moratelindo.co.id/,IDJ0000294A2 | IDJ0000295B7 | IDJ0000267A8 | IDJ0000267B6 | ID1000170608,ID1000170608,0,mora telematika indonesia tbk pt
2549901,Aria Citra Mulia; PT,Indonesia,ID,Industrial Transportation,,,,0,aria citra mulia pt
2549908,Kasih; CV,Indonesia,ID,Unspecified,,,,0,kasih cv
2550571,Plumpang Raya Anugrah; PT,Indonesia,ID,Oil and Gas,http://pra-group.com,,,0,plumpang raya anugrah pt
2550842,Indah Logistik; PT,Indonesia,ID,Support Services (Industrial Goods and Services),https://indahlogistikcargo.com/,,,0,indah logistik pt
2550993,Ridho Putra; CV,Indonesia,ID,Construction and Materials,,,,0,ridho putra cv
2551069,Aserra Mineralindo Pratama; PT,Indonesia,ID,Mining,,,,0,aserra mineralindo pratama pt
2551086,Sardana IndahBerlian Motor; PT (Sardana Berlian),Indonesia,ID,Retail,https://sardanagroup.co.id/,,,1,sardana indahberlian motor pt
2551096,Saprotan Utama; CV,Indonesia,ID,Chemicals,https://saprotan-utama.com/,,,1,saprotan utama cv
2551194,Tirta Buana Kemindo; PT,Indonesia,ID,Pharmaceuticals and Biotechnology | Retail,http://www.pttbk.com/,,,0,tirta buana kemindo pt
2551209,Megasetia Agung Kimia; PT,Indonesia,ID,Retail,https://www.megasetia.com/,,,0,megasetia agung kimia pt
2551219,Budiarta; CV,Indonesia,ID,Chemicals,,,,0,budiarta cv
2551224,Mega Integra; CV,Indonesia,ID,Unspecified,,,,0,mega integra cv
2551358,Wahyu Putra; CV,Indonesia,ID,Support Services (Industrial Goods and Services),,,,0,wahyu putra cv
2551397,Posts Stamps Printing SMLLC (In Tem Buu Dien; CT TNHH MTV),Vietnam,VN,Support Services (Industrial Goods and Services),http://intemvina.com/,,,1,posts stamps printing smllc
2552178,Onsu Pangan Perkasa; PT,Indonesia,ID,Travel and Leisure,https://onsupanganperkasa.com/,,,0,onsu pangan perkasa pt
255231,West Point Terminal PT,Indonesia,ID,Oil and Gas,,,,0,west point terminal pt
2552444,Cellindo Sigma Perkasa; PT,Indonesia,ID,Construction and Materials,https://cellindosigma.co.id/,,,0,cellindo sigma perkasa pt
2552450,Besi Baja Metalindo; PT,Indonesia,ID,Construction and Materials,https://www.besibajametalindo.co.id/,,,0,besi baja metalindo pt
2552530,Utama; CV,Indonesia,ID,Construction and Materials,,,,0,utama cv
2552688,Angkasa Pura Aviasi; PT,Indonesia,ID,Travel and Leisure | Airlines,https://angkasapuraaviasi.co.id/,,,0,angkasa pura aviasi pt
2552696,Afil Jute Weaving Mills Ltd,Bangladesh,BD,Personal and Household Goods,,,,0,afil jute weaving mills ltd
2552810,Alfazza Jaya Mas; PT,Indonesia,ID,Pharmaceuticals and Biotechnology,,,,0,alfazza jaya mas pt
2552880,Mascotex Ltd,Bangladesh,BD,Personal and Household Goods,,,,0,mascotex ltd
2552895,Taqwa Fabrics Ltd,Bangladesh,BD,Personal and Household Goods,,,,0,taqwa fabrics ltd
2552907,AKM Knit Wear Ltd,Bangladesh,BD,Personal and Household Goods,https://al-muslimgroup.com/akm-knit-wear/,,,0,akm knit wear ltd
2552912,Sterling Denims Ltd,Bangladesh,BD,Personal and Household Goods,https://sterlinggroup.com.bd/department/3,,,0,sterling denims ltd
2553393,PT Huayue Nickel Cobalt,Indonesia,ID,Mining,,,,0,huayue nickel cobalt pt
2553498,Sintong Abadi; PT,Indonesia,ID,Food and Beverage | Personal and Household Goods,http://www.sintong-abadi.com/,,,0,sintong abadi pt
2553538,NiemTin Co Ltd,Vietnam,VN,Telecommunications,https://ntc.com.vn/en/,,,0,niemtin
2553542,Kalimantan Concrete Engineering; PT,Indonesia,ID,Construction and Materials,http://www.kalimantanconcrete.com/,,,0,kalimantan concrete engineering pt
2553603,Permata Nusa Mandiri; PT,Indonesia,ID,Food and Beverage,,,,0,permata nusa mandiri pt
2553631,Graha Trisaka Indonesia; PT (PaxOcean; PT),Indonesia,ID,Industrial Transportation,,,,0,graha trisaka indonesia pt
2553832,Agung Cemara Realty; PT,Indonesia,ID,Financial Services,,,,0,agung cemara realty pt
2553851,Semeru Putra Transindo; PT (Semeru Trans),Indonesia,ID,Travel and Leisure,https://semerutrans.com,,,0,semeru putra transindo pt
