QuestID,FactoryBWID,FactoryName,Country,AssessmentDate,year,cName,CNRR,repriskid,RRCleaned,Rrsector,doubt,handcoded,round
16871,5,Classic Fashion Apparel Industry Ltd. Co. (Unit 1)(Obsolete),Jordan,24/09/2016,2016,classic fashion apparel industry ltd. co,Classic Fashion Apparel Industry Ltd (CFAI),2747,classic fashion apparel industry ltd,Personal and Household Goods,0,1,2
22611,5,Classic Fashion Apparel Industry Ltd. Co. (Unit 1),Jordan,10/9/2017,2017,classic fashion apparel industry ltd. co,Classic Fashion Apparel Industry Ltd (CFAI),2747,classic fashion apparel industry ltd,Personal and Household Goods,0,1,2
12189,6,Eam Maliban Textiles Jordan (PVT) Ltd. (Inactive),Jordan,11/11/2015,2015,eam maliban textiles jordan ltd,,,,,0,1,0
17635,6,Eam Maliban Textiles Jordan (PVT) Ltd. (Inactive),Jordan,20/11/2016,2016,eam maliban textiles jordan ltd,,,,,0,1,0
23533,6,Eam Maliban Textiles Jordan (PVT) Ltd.,Jordan,12/11/2017,2017,eam maliban textiles jordan ltd,,,,,0,1,0
30785,6,Eam Maliban Textiles Jordan (PVT) Ltd.,Jordan,21/11/2018,2018,eam maliban textiles jordan ltd,,,,,0,1,0
37243,6,Eam Maliban Textiles Jordan (PVT) Ltd. (Inactive),Jordan,17/11/2019,2019,eam maliban textiles jordan ltd,,,,,0,1,0
40925,6,Eam Maliban Textiles Jordan (PVT) Ltd. (Inactive),Jordan,20/12/2020,2020,eam maliban textiles jordan ltd,,,,,0,1,0
12742,7,Indo Jordan Clothing Company (Unit 1),Jordan,29/09/2015,2015,indo jordan clothing company,,,,,,1,3
17245,7,Indo Jordan Clothing Company (Unit 1),Jordan,16/10/2016,2016,indo jordan clothing company,,,,,,1,3
23068,7,Indo Jordan Clothing Company (Unit 1),Jordan,9/10/2017,2017,indo jordan clothing company,,,,,,1,3
30170,7,Indo Jordan Clothing Company (Unit 1),Jordan,10/10/2018,2018,indo jordan clothing company,,,,,,1,3
36597,7,Indo Jordan Clothing Company (Unit 1),Jordan,9/10/2019,2019,indo jordan clothing company,,,,,,1,3
40058,7,Indo Jordan Clothing Company (Unit 1),Jordan,15/09/2020,2020,indo jordan clothing company,,,,,,1,3
10183,8,Fine Apparel Ltd..,Jordan,29/07/2015,2015,fine apparel ltd,,,,,,1,2
16002,8,Fine Apparel Ltd..,Jordan,15/08/2016,2016,fine apparel ltd,,,,,,1,2
21357,8,Fine Apparel Ltd..,Jordan,18/07/2017,2017,fine apparel ltd,,,,,,1,2
28278,8,Fine Apparel Ltd..,Jordan,15/07/2018,2018,fine apparel ltd,,,,,,1,2
35827,8,Fine Apparel Ltd..,Jordan,21/08/2019,2019,fine apparel ltd,,,,,,1,2
40097,8,Fine Apparel Ltd..,Jordan,16/09/2020,2020,fine apparel ltd,,,,,,1,2
8714,14,Vega Textile Ltd.,Jordan,20/04/2015,2015,vega textile ltd,Vega Textile Ltd,2298489,vega textile ltd,Personal and Household Goods,0,0,1
14705,14,Vega Textile Ltd.,Jordan,9/5/2016,2016,vega textile ltd,Vega Textile Ltd,2298489,vega textile ltd,Personal and Household Goods,0,0,1
19780,14,Vega Textile Ltd.,Jordan,24/04/2017,2017,vega textile ltd,Vega Textile Ltd,2298489,vega textile ltd,Personal and Household Goods,0,0,1
26771,14,Vega Textile Ltd.,Jordan,15/04/2018,2018,vega textile ltd,Vega Textile Ltd,2298489,vega textile ltd,Personal and Household Goods,0,0,1
33480,14,Vega Textile Ltd.,Jordan,22/04/2019,2019,vega textile ltd,Vega Textile Ltd,2298489,vega textile ltd,Personal and Household Goods,0,0,1
39541,14,Vega Textile Ltd.,Jordan,28/06/2020,2020,vega textile ltd,Vega Textile Ltd,2298489,vega textile ltd,Personal and Household Goods,0,0,1
42773,14,Vega Textile Ltd.,Jordan,15/06/2021,2021,vega textile ltd,Vega Textile Ltd,2298489,vega textile ltd,Personal and Household Goods,0,0,1
8200,15,Protrade Garment JSC.,Vietnam,29/01/2015,2015,protrade garment jsc,Protrade Garment JSC,2386308,protrade garment jsc,Personal and Household Goods,0,0,1
17779,15,Protrade Garment JSC.,Vietnam,30/11/2016,2016,protrade garment jsc,Protrade Garment JSC,2386308,protrade garment jsc,Personal and Household Goods,0,0,1
26358,15,Protrade Garment JSC.,Vietnam,3/4/2018,2018,protrade garment jsc,Protrade Garment JSC,2386308,protrade garment jsc,Personal and Household Goods,0,0,1
33186,15,Protrade Garment JSC.,Vietnam,2/4/2019,2019,protrade garment jsc,Protrade Garment JSC,2386308,protrade garment jsc,Personal and Household Goods,0,0,1
39357,15,Protrade Garment JSC.,Vietnam,12/5/2020,2020,protrade garment jsc,Protrade Garment JSC,2386308,protrade garment jsc,Personal and Household Goods,0,0,1
9733,16,United Sweethearts Garments (Vietnam) Co. Ltd.,Vietnam,30/06/2015,2015,united sweethearts garments,United Sweethearts Garment (Vietnam) Co Ltd,2233758,united sweethearts garment,Personal and Household Goods,0,1,2
15556,16,United Sweethearts Garments (Vietnam) Co. Ltd.,Vietnam,12/7/2016,2016,united sweethearts garments,United Sweethearts Garment (Vietnam) Co Ltd,2233758,united sweethearts garment,Personal and Household Goods,0,1,2
22768,16,United Sweethearts Garments (Vietnam) Co. Ltd.,Vietnam,10/10/2017,2017,united sweethearts garments,United Sweethearts Garment (Vietnam) Co Ltd,2233758,united sweethearts garment,Personal and Household Goods,0,1,2
30141,16,United Sweethearts Garments (Vietnam) Co. Ltd.,Vietnam,4/10/2018,2018,united sweethearts garments,United Sweethearts Garment (Vietnam) Co Ltd,2233758,united sweethearts garment,Personal and Household Goods,0,1,2
37022,16,United Sweethearts Garments (Vietnam) Co. Ltd.,Vietnam,30/10/2019,2019,united sweethearts garments,United Sweethearts Garment (Vietnam) Co Ltd,2233758,united sweethearts garment,Personal and Household Goods,0,1,2
40556,16,United Sweethearts Garments (Vietnam) Co. Ltd.,Vietnam,28/10/2020,2020,united sweethearts garments,United Sweethearts Garment (Vietnam) Co Ltd,2233758,united sweethearts garment,Personal and Household Goods,0,1,2
11637,18,"FOX RIVER CARIBE, INC.",Haiti,13/10/2015,2015,"fox river caribe, inc",Fox River Caribe Inc,118363,fox river caribe inc,Personal and Household Goods,0,0,2
14410,18,"FOX RIVER CARIBE, INC.",Haiti,10/5/2016,2016,"fox river caribe, inc",Fox River Caribe Inc,118363,fox river caribe inc,Personal and Household Goods,0,0,2
9622,24,Quality Sewing Manufacturing S.A.,Haiti,23/06/2015,2015,quality sewing manufacturing sa,,,,,0,0,0
14606,24,Quality Sewing Manufacturing S.A.,Haiti,20/04/2016,2016,quality sewing manufacturing sa,,,,,0,0,0
21537,24,Quality Sewing Manufacturing S.A.,Haiti,27/06/2017,2017,quality sewing manufacturing sa,,,,,0,0,0
28943,24,Quality Sewing Manufacturing S.A.,Haiti,24/07/2018,2018,quality sewing manufacturing sa,,,,,0,0,0
35107,24,Quality Sewing Manufacturing S.A.,Haiti,24/07/2019,2019,quality sewing manufacturing sa,,,,,0,0,0
41713,24,Quality Sewing Manufacturing S.A.,Haiti,10/2/2021,2021,quality sewing manufacturing sa,,,,,0,0,0
9992,28,MGA Haiti S.A.,Haiti,21/07/2015,2015,mga haiti sa,,,,,0,0,0
15233,28,MGA Haiti S.A.,Haiti,21/06/2016,2016,mga haiti sa,,,,,0,0,0
20026,28,MGA Haiti S.A.,Haiti,25/04/2017,2017,mga haiti sa,,,,,0,0,0
27360,28,MGA Haiti S.A.,Haiti,15/05/2018,2018,mga haiti sa,,,,,0,0,0
34961,28,MGA Haiti S.A.,Haiti,26/06/2019,2019,mga haiti sa,,,,,0,0,0
41809,28,MGA Haiti S.A.,Haiti,23/02/2021,2021,mga haiti sa,,,,,0,0,0
9868,29,DKDR HAITI S.A.,Haiti,16/06/2015,2015,dkdr haiti sa,DKDR Haiti SA,118361,dkdr haiti sa,Personal and Household Goods,0,0,1
10030,31,PACIFIC SPORTS HAITI S.A.,Haiti,9/7/2015,2015,pacific sports haiti sa,Pacific Sports Haiti SA,118375,pacific sports haiti sa,Personal and Household Goods,0,1,1
15576,31,PACIFIC SPORTS HAITI S.A.,Haiti,14/06/2016,2016,pacific sports haiti sa,Pacific Sports Haiti SA,118375,pacific sports haiti sa,Personal and Household Goods,0,1,1
21199,31,PACIFIC SPORTS HAITI S.A.,Haiti,18/07/2017,2017,pacific sports haiti sa,Pacific Sports Haiti SA,118375,pacific sports haiti sa,Personal and Household Goods,0,1,1
29065,31,PACIFIC SPORTS HAITI S.A.,Haiti,1/8/2018,2018,pacific sports haiti sa,Pacific Sports Haiti SA,118375,pacific sports haiti sa,Personal and Household Goods,0,1,1
34890,31,PACIFIC SPORTS HAITI S.A.,Haiti,16/07/2019,2019,pacific sports haiti sa,Pacific Sports Haiti SA,118375,pacific sports haiti sa,Personal and Household Goods,0,1,1
9530,33,Sewing International S.A.,Haiti,16/06/2015,2015,sewing international sa,Sewing International SA (SISA),118377,sewing international sa,Personal and Household Goods,0,0,1
14358,33,Sewing International S.A.,Haiti,12/4/2016,2016,sewing international sa,Sewing International SA (SISA),118377,sewing international sa,Personal and Household Goods,0,0,1
20301,33,Sewing International S.A.,Haiti,16/05/2017,2017,sewing international sa,Sewing International SA (SISA),118377,sewing international sa,Personal and Household Goods,0,0,1
29004,33,Sewing International S.A.,Haiti,29/05/2018,2018,sewing international sa,Sewing International SA (SISA),118377,sewing international sa,Personal and Household Goods,0,0,1
35668,33,Sewing International S.A.,Haiti,6/8/2019,2019,sewing international sa,Sewing International SA (SISA),118377,sewing international sa,Personal and Household Goods,0,0,1
12894,35,Multiwear S.A.,Haiti,27/10/2015,2015,multiwear sa,Multiwear SA,118374,multiwear sa,Personal and Household Goods,0,0,1
12665,36,CODEVI,Haiti,23/11/2015,2015,codevi,CODEVI,118360,codevi,Personal and Household Goods,0,0,1
17654,36,CODEVI,Haiti,28/10/2016,2016,codevi,CODEVI,118360,codevi,Personal and Household Goods,0,0,1
26954,36,CODEVI,Haiti,22/05/2018,2018,codevi,CODEVI,118360,codevi,Personal and Household Goods,0,0,1
33353,36,CODEVI,Haiti,11/2/2019,2019,codevi,CODEVI,118360,codevi,Personal and Household Goods,0,0,1
39334,36,CODEVI,Haiti,28/01/2020,2020,codevi,CODEVI,118360,codevi,Personal and Household Goods,0,0,1
13317,39,Century Wear Co. (obsolete),Jordan,17/01/2016,2016,century wear co,,,,,0,1,0
17500,39,Century Wear Co. (obsolete),Jordan,9/11/2016,2016,century wear co,,,,,0,1,0
22762,39,Century Wear Co.,Jordan,17/10/2017,2017,century wear co,,,,,0,1,0
9626,43,INTERAMERICAN WOVENS S.A.,Haiti,30/06/2015,2015,interamerican wovens sa,InterAmerican Wovens SA,118368,interamerican wovens sa,Personal and Household Goods,0,0,1
17216,43,INTERAMERICAN WOVENS S.A.,Haiti,12/10/2016,2016,interamerican wovens sa,InterAmerican Wovens SA,118368,interamerican wovens sa,Personal and Household Goods,0,0,1
24033,43,INTERAMERICAN WOVENS S.A.,Haiti,16/08/2017,2017,interamerican wovens sa,InterAmerican Wovens SA,118368,interamerican wovens sa,Personal and Household Goods,0,0,1
30421,43,INTERAMERICAN WOVENS S.A.,Haiti,29/08/2018,2018,interamerican wovens sa,InterAmerican Wovens SA,118368,interamerican wovens sa,Personal and Household Goods,0,0,1
35820,43,INTERAMERICAN WOVENS S.A.,Haiti,22/08/2019,2019,interamerican wovens sa,InterAmerican Wovens SA,118368,interamerican wovens sa,Personal and Household Goods,0,0,1
12535,48,ivory garment factory llc,Jordan,9/12/2015,2015,ivory garment factory llc,Ivory Garment Factory LLC,106983,ivory garment factory llc,Personal and Household Goods,0,0,1
18022,48,ivory garment factory llc,Jordan,14/12/2016,2016,ivory garment factory llc,Ivory Garment Factory LLC,106983,ivory garment factory llc,Personal and Household Goods,0,0,1
23418,48,ivory garment factory llc,Jordan,13/11/2017,2017,ivory garment factory llc,Ivory Garment Factory LLC,106983,ivory garment factory llc,Personal and Household Goods,0,0,1
30877,48,ivory garment factory llc,Jordan,13/11/2018,2018,ivory garment factory llc,Ivory Garment Factory LLC,106983,ivory garment factory llc,Personal and Household Goods,0,0,1
37492,48,ivory garment factory llc,Jordan,20/11/2019,2019,ivory garment factory llc,Ivory Garment Factory LLC,106983,ivory garment factory llc,Personal and Household Goods,0,0,1
43045,48,ivory garment factory llc,Jordan,14/07/2021,2021,ivory garment factory llc,Ivory Garment Factory LLC,106983,ivory garment factory llc,Personal and Household Goods,0,0,1
10518,49,"Shinsung Vina Co., Ltd.",Vietnam,18/08/2015,2015,shinsung vina,,,,,0,1,0
16667,49,"Shinsung Vina Co., Ltd.",Vietnam,20/09/2016,2016,shinsung vina,,,,,0,1,0
25034,49,"Shinsung Vina Co., Ltd.",Vietnam,24/01/2018,2018,shinsung vina,,,,,0,1,0
32722,49,"Shinsung Vina Co., Ltd.",Vietnam,12/3/2019,2019,shinsung vina,,,,,0,1,0
39172,49,"Shinsung Vina Co., Ltd.",Vietnam,17/03/2020,2020,shinsung vina,,,,,0,1,0
10903,50,"NB Blue Co., Ltd.",Vietnam,8/9/2015,2015,nb blue,,,,,0,1,0
18144,50,"NB Blue Co., Ltd.",Vietnam,3/1/2017,2017,nb blue,,,,,0,1,0
25013,50,"NB Blue Co., Ltd.",Vietnam,9/1/2018,2018,nb blue,,,,,0,1,0
8585,51,"Trida Co., Ltd.",Vietnam,31/03/2015,2015,trida,,,,,0,1,0
15134,51,"Trida Co., Ltd.",Vietnam,14/06/2016,2016,trida,,,,,0,1,0
24475,51,"Trida Co., Ltd.",Vietnam,28/12/2017,2017,trida,,,,,0,1,0
38214,51,"Trida Co., Ltd.",Vietnam,14/01/2020,2020,trida,,,,,0,1,0
41665,51,"Trida Co., Ltd.",Vietnam,2/3/2021,2021,trida,,,,,0,1,0
10970,53,"Hansae TN Co., Ltd.",Vietnam,29/09/2015,2015,hansae tn,,,,,,1,2
17752,53,"Hansae TN Co., Ltd.",Vietnam,30/11/2016,2016,hansae tn,,,,,,1,2
24114,53,Hansae TN Co. Ltd.,Vietnam,15/11/2017,2017,hansae tn,,,,,,1,2
37536,53,"Hansae TN Co., Ltd.",Vietnam,26/11/2019,2019,hansae tn,,,,,,1,2
40921,53,"Hansae TN Co., Ltd.",Vietnam,8/12/2020,2020,hansae tn,,,,,,1,2
11898,54,"Saitex International Dong Nai (VN) Co., Ltd.",Vietnam,3/11/2015,2015,saitex international dong nai,Saitex International Dong Nai (VN) Co Ltd,1129958,saitex international dong nai,Personal and Household Goods,0,0,1
17775,54,"Saitex International Dong Nai (VN) Co., Ltd.",Vietnam,29/11/2016,2016,saitex international dong nai,Saitex International Dong Nai (VN) Co Ltd,1129958,saitex international dong nai,Personal and Household Goods,0,0,1
24797,54,"Saitex International Dong Nai (VN) Co., Ltd.",Vietnam,27/12/2017,2017,saitex international dong nai,Saitex International Dong Nai (VN) Co Ltd,1129958,saitex international dong nai,Personal and Household Goods,0,0,1
38314,54,"Saitex International Dong Nai (VN) Co., Ltd.",Vietnam,7/1/2020,2020,saitex international dong nai,Saitex International Dong Nai (VN) Co Ltd,1129958,saitex international dong nai,Personal and Household Goods,0,0,1
41279,54,"Saitex International Dong Nai (VN) Co., Ltd.",Vietnam,12/1/2021,2021,saitex international dong nai,Saitex International Dong Nai (VN) Co Ltd,1129958,saitex international dong nai,Personal and Household Goods,0,0,1
11053,55,Hansae Vietnam Co. Ltd.,Vietnam,29/09/2015,2015,hansae vietnam,Hansae Vietnam Co Ltd,73809,hansae vietnam,Personal and Household Goods,0,0,1
17173,55,Hansae Vietnam Co. Ltd.,Vietnam,11/10/2016,2016,hansae vietnam,Hansae Vietnam Co Ltd,73809,hansae vietnam,Personal and Household Goods,0,0,1
22756,55,Hansae Vietnam Co. Ltd.,Vietnam,3/10/2017,2017,hansae vietnam,Hansae Vietnam Co Ltd,73809,hansae vietnam,Personal and Household Goods,0,0,1
29933,55,Hansae Vietnam Co. Ltd.,Vietnam,25/09/2018,2018,hansae vietnam,Hansae Vietnam Co Ltd,73809,hansae vietnam,Personal and Household Goods,0,0,1
36550,55,Hansae Vietnam Co. Ltd.,Vietnam,8/10/2019,2019,hansae vietnam,Hansae Vietnam Co Ltd,73809,hansae vietnam,Personal and Household Goods,0,0,1
40357,55,Hansae Vietnam Co. Ltd.,Vietnam,20/10/2020,2020,hansae vietnam,Hansae Vietnam Co Ltd,73809,hansae vietnam,Personal and Household Goods,0,0,1
10967,59,Mas Al Safi Apparel Mfg.,Jordan,25/08/2015,2015,mas al safi apparel manufacturing,Mas Alsafi Apparel Manufacturing LLC (formerly Sterling Apparel Manufacturing LLC),2231243,mas alsafi apparel manufacturing llc (formerly sterling apparel manufacturing llc),Personal and Household Goods,0,0,2
15431,59,Mas Al Safi Apparel Mfg.,Jordan,26/06/2016,2016,mas al safi apparel manufacturing,Mas Alsafi Apparel Manufacturing LLC (formerly Sterling Apparel Manufacturing LLC),2231243,mas alsafi apparel manufacturing llc (formerly sterling apparel manufacturing llc),Personal and Household Goods,0,0,2
21093,59,Mas Al Safi Apparel Mfg.,Jordan,10/7/2017,2017,mas al safi apparel manufacturing,Mas Alsafi Apparel Manufacturing LLC (formerly Sterling Apparel Manufacturing LLC),2231243,mas alsafi apparel manufacturing llc (formerly sterling apparel manufacturing llc),Personal and Household Goods,0,0,2
26191,59,Mas Al Safi Apparel Mfg.,Jordan,25/03/2018,2018,mas al safi apparel manufacturing,Mas Alsafi Apparel Manufacturing LLC (formerly Sterling Apparel Manufacturing LLC),2231243,mas alsafi apparel manufacturing llc (formerly sterling apparel manufacturing llc),Personal and Household Goods,0,0,2
33442,59,Mas Al Safi Apparel Mfg.,Jordan,31/03/2019,2019,mas al safi apparel manufacturing,Mas Alsafi Apparel Manufacturing LLC (formerly Sterling Apparel Manufacturing LLC),2231243,mas alsafi apparel manufacturing llc (formerly sterling apparel manufacturing llc),Personal and Household Goods,0,0,2
39660,59,Mas Al Safi Apparel Mfg.,Jordan,12/7/2020,2020,mas al safi apparel manufacturing,Mas Alsafi Apparel Manufacturing LLC (formerly Sterling Apparel Manufacturing LLC),2231243,mas alsafi apparel manufacturing llc (formerly sterling apparel manufacturing llc),Personal and Household Goods,0,0,2
42548,59,Mas Al Safi Apparel Mfg.,Jordan,26/05/2021,2021,mas al safi apparel manufacturing,Mas Alsafi Apparel Manufacturing LLC (formerly Sterling Apparel Manufacturing LLC),2231243,mas alsafi apparel manufacturing llc (formerly sterling apparel manufacturing llc),Personal and Household Goods,0,0,2
8785,60,Standard Textile Jordan (Obsolete),Jordan,28/04/2015,2015,standard textile jordan,,,,,0,0,0
14547,60,Standard Textile Jordan (Obsolete),Jordan,18/04/2016,2016,standard textile jordan,,,,,0,0,0
21036,60,Standard Textile Jordan,Jordan,14/05/2017,2017,standard textile jordan,,,,,0,0,0
27516,60,Standard Textile Jordan,Jordan,13/06/2018,2018,standard textile jordan,,,,,0,0,0
34678,60,Standard Textile Jordan (Obsolete),Jordan,19/06/2019,2019,standard textile jordan,,,,,0,0,0
8886,61,Al Hanan for Cloth Mfg. Est.,Jordan,18/05/2015,2015,al hanan for cloth manufacturing est,,,,,,1,2
15050,61,Al Hanan for Cloth Mfg. Est.,Jordan,28/05/2016,2016,al hanan for cloth manufacturing est,,,,,,1,2
19397,61,Al Hanan for Cloth Mfg. Est.,Jordan,29/03/2017,2017,al hanan for cloth manufacturing est,,,,,,1,2
26366,61,Al Hanan for Cloth Mfg. Est.,Jordan,27/03/2018,2018,al hanan for cloth manufacturing est,,,,,,1,2
33567,61,Al Hanan for Cloth Mfg. Est.,Jordan,14/04/2019,2019,al hanan for cloth manufacturing est,,,,,,1,2
41657,61,Al Hanan for Cloth Mfg. Est.,Jordan,23/02/2021,2021,al hanan for cloth manufacturing est,,,,,,1,2
10607,62,lee and suy vina,Vietnam,25/08/2015,2015,lee and suy vina,,,,,0,0,3
16549,62,lee and suy vina,Vietnam,14/09/2016,2016,lee and suy vina,,,,,0,0,3
22639,62,lee and suy vina,Vietnam,26/09/2017,2017,lee and suy vina,,,,,0,0,3
30765,62,lee and suy vina,Vietnam,13/11/2018,2018,lee and suy vina,,,,,0,0,3
38589,62,lee and suy vina,Vietnam,11/2/2020,2020,lee and suy vina,,,,,0,0,3
41212,62,lee and suy vina,Vietnam,20/01/2021,2021,lee and suy vina,,,,,0,0,3
11487,63,Lotus Textile & Garment Co. Ltd.,Vietnam,13/10/2015,2015,lotus textile and garment,,,,,0,0,0
18093,63,Lotus Textile & Garment Co. Ltd.,Vietnam,22/12/2016,2016,lotus textile and garment,,,,,0,0,0
24956,63,Lotus Textile & Garment Co. Ltd.,Vietnam,23/01/2018,2018,lotus textile and garment,,,,,0,0,0
31632,63,Lotus Textile & Garment Co. Ltd.,Vietnam,2/1/2019,2019,lotus textile and garment,,,,,0,0,0
39339,63,Lotus Textile & Garment Co. Ltd.,Vietnam,5/5/2020,2020,lotus textile and garment,,,,,0,0,0
41916,63,Lotus Textile & Garment Co. Ltd.,Vietnam,30/03/2021,2021,lotus textile and garment,,,,,0,0,0
11639,64,Premium Apparel,Haiti,6/10/2015,2015,premium apparel,Premium Apparel SA,111835,premium apparel sa,Personal and Household Goods,0,1,2
17190,64,Premium Apparel,Haiti,11/10/2016,2016,premium apparel,Premium Apparel SA,111835,premium apparel sa,Personal and Household Goods,0,1,2
22796,64,Premium Apparel,Haiti,9/8/2017,2017,premium apparel,Premium Apparel SA,111835,premium apparel sa,Personal and Household Goods,0,1,2
30391,64,Premium Apparel,Haiti,8/8/2018,2018,premium apparel,Premium Apparel SA,111835,premium apparel sa,Personal and Household Goods,0,1,2
35895,64,Premium Apparel,Haiti,27/08/2019,2019,premium apparel,Premium Apparel SA,111835,premium apparel sa,Personal and Household Goods,0,1,2
10380,72,AL Masera Textile,Jordan,17/08/2015,2015,al masera textile,,,,,,1,2
16169,72,AL Masera Textile,Jordan,21/08/2016,2016,al masera textile,,,,,,1,2
21386,72,AL Masera Textile,Jordan,26/07/2017,2017,al masera textile,,,,,,1,2
28461,72,AL Masera Textile,Jordan,22/07/2018,2018,al masera textile,,,,,,1,2
34843,72,AL Masera Textile,Jordan,10/7/2019,2019,al masera textile,,,,,,1,2
39725,72,AL Masera Textile,Jordan,11/8/2020,2020,al masera textile,,,,,,1,2
8359,74,King Star Garment Co. Ltd.,Vietnam,3/2/2015,2015,king star garment,,,,,0,0,0
14908,74,King Star Garment Co. Ltd.,Vietnam,24/05/2016,2016,king star garment,,,,,0,0,0
20447,74,King Star Garment Co. Ltd.,Vietnam,30/05/2017,2017,king star garment,,,,,0,0,0
27356,74,King Star Garment Co. Ltd.,Vietnam,15/05/2018,2018,king star garment,,,,,0,0,0
34466,74,King Star Garment Co. Ltd.,Vietnam,18/06/2019,2019,king star garment,,,,,0,0,0
8689,75,Saigon 3 Garment JSC - Hiep Binh Phuoc and Minako Factory- Branches of Saigon 3,Vietnam,6/4/2015,2015,saigon 3 garment jsc,,,,,,1,2
18042,75,Saigon 3 Garment JSC - Hiep Binh Phuoc and Minako Factory- Branches of Saigon 3,Vietnam,20/12/2016,2016,saigon 3 garment jsc,,,,,,1,2
39243,75,Saigon 3 Garment JSC - Hiep Binh Phuoc and Minako Factory- Branches of Saigon 3,Vietnam,24/03/2020,2020,saigon 3 garment jsc,,,,,,1,2
42177,75,Saigon 3 Garment JSC - Hiep Binh Phuoc and Minako Factory- Branches of Saigon 3,Vietnam,22/04/2021,2021,saigon 3 garment jsc,,,,,,1,2
11341,77,"Hansoll Vina Co., Ltd.",Vietnam,24/09/2015,2015,hansoll vina,,,,,0,0,0
17170,77,"Hansoll Vina Co., Ltd.",Vietnam,25/10/2016,2016,hansoll vina,,,,,0,0,0
23212,77,Hansoll Vina Co. Ltd.,Vietnam,7/11/2017,2017,hansoll vina,,,,,0,0,0
30184,77,Hansoll Vina Co. Ltd.,Vietnam,16/10/2018,2018,hansoll vina,,,,,0,0,0
37200,77,"Hansoll Vina Co., Ltd.",Vietnam,19/11/2019,2019,hansoll vina,,,,,0,0,0
40760,77,"Hansoll Vina Co., Ltd.",Vietnam,14/12/2020,2020,hansoll vina,,,,,0,0,0
9921,78,"Chutex International Co., Ltd.",Vietnam,7/7/2015,2015,chutex international,,,,,0,0,0
16137,78,"Chutex International Co., Ltd.",Vietnam,16/08/2016,2016,chutex international,,,,,0,0,0
22235,78,Chutex International Co. Ltd.,Vietnam,12/9/2017,2017,chutex international,,,,,0,0,0
