QuestID,hrsigned,recruit,discfire,grievdispute,accounthr,comimplhr,investihr,emergencepr,riskcontr,accidentinvesti,accohs,impleosh,invstiosh,mngsum13items,mngitems
42344,1.0,,,,,,,,,1.0,,,,2.0,2
42662,0.0,,,,,,,,1.0,,,,,1.0,2
43223,1.0,,,,0.0,,,,,,,,,1.0,2
42867,0.0,,,,0.0,,,,,,,,,0.0,2
42872,1.0,,,,0.0,,,,,,,,,1.0,2
43036,1.0,,,,0.0,,,,1.0,,,,,2.0,3
40524,1.0,,,,0.0,,,,1.0,,,,,2.0,3
42863,0.0,,,,0.0,,,,1.0,,,,,1.0,3
43163,1.0,,,1.0,,,,,1.0,,,,,3.0,3
42957,0.0,,,,0.0,,,,1.0,,,,,1.0,3
43235,1.0,,,,,,,,,,1.0,,0.0,2.0,3
43269,0.0,,,,0.0,,,,1.0,,,,,1.0,3
42684,0.0,,,,0.0,,,,1.0,,,,,1.0,3
41324,1.0,,,,,,,,1.0,,,,0.0,2.0,3
43446,1.0,,,1.0,,,,,1.0,,,,,3.0,3
42614,0.0,,,,0.0,,,,1.0,,,,,1.0,3
42372,1.0,,,1.0,,,,,1.0,,,,,3.0,3
41586,1.0,,,,0.0,,,,1.0,,,,,2.0,3
42395,0.0,,,,0.0,,,,1.0,,,,,1.0,3
40546,1.0,,1.0,,,,,,1.0,,,,,3.0,3
40781,1.0,,,,0.0,,,,1.0,,,,,2.0,3
42149,1.0,,,1.0,,,,,0.0,,,,,2.0,3
40738,1.0,,,1.0,,,,,1.0,,,,,3.0,3
41008,1.0,,,,0.0,,,,1.0,,,,,2.0,3
43619,0.0,,,,0.0,,,,1.0,,,,,1.0,3
42346,,,,,0.0,,,,1.0,,,,0.0,1.0,3
43361,1.0,,,1.0,0.0,,,,,,,,,2.0,3
42955,0.0,,,,0.0,,,,1.0,,,,,1.0,3
40154,1.0,,,1.0,,,,,1.0,,,,,3.0,3
43209,1.0,,,1.0,,,,,,,1.0,,,3.0,3
40125,1.0,,,1.0,,,,,1.0,,,,,3.0,3
40523,1.0,,,1.0,,,,,1.0,,,,,3.0,3
43578,0.0,,,1.0,0.0,,,,,,,,,1.0,3
43341,1.0,,,,0.0,,,,1.0,,,,,2.0,3
40683,1.0,,,,0.0,,,,1.0,,,,,2.0,3
42960,0.0,,,,0.0,,,,1.0,,,,,1.0,3
39869,1.0,,,1.0,,,,,1.0,,,,,3.0,3
40670,,,,,,,,,1.0,,,1.0,0.0,2.0,3
40591,1.0,,,1.0,,,,,1.0,,,,,3.0,3
42601,1.0,,,,0.0,,,,1.0,,,,,2.0,3
42604,1.0,,,1.0,,,,,1.0,,,,,3.0,3
41408,,,,1.0,,,,1.0,1.0,,,,,3.0,3
39758,1.0,,,,0.0,,,,1.0,,,,,2.0,3
