conveyor,month,all_salary,workers,avg_pay,attrition,cus1,cus1ps,cus2,cus2ps,cus3,cus3ps,cus4,cus4ps,cus5,cus5ps,cus6,cus6ps,numbuyers,cus1share,allps,avgprice,minprice,maxprice,cus1price,cus2price,cus3price,numstyles,numartno,numbatches,pschange,stylesch,artnoch
C-1,3,617102.5,71,8691.584507,0.065789474,Crown,26712,Bull,3204,Sparky,3029,Rhino,2630,Decathlon,522,PortLand,354,7,73.08944647,36547,15.9208531,6.286480427,26.67000008,15.67636166,16.18539254,16.46240214,37,31,46,89.31364931,54.16666667,63.15789474
C-1,4,543027.7,63,8619.487302,0.112676056,Crown,14213,Sparky,4357,K2,768,Rhino,588,Bernie,500,PortLand,394,6,68.2660903,20820,16.76817022,16.04811162,28.19546881,16.04811162,16.79672104,28.19546881,37,31,46,-43.03225983,0,0
C-1,5,593887.3,71,8364.609859,0,Rhino,10236,Crown,8328,Bernie,2400,JEETLO-P,2016,Sparky,1954,K2,462,8,39.87223434,25672,17.61556327,0.872618496,27.23623345,22.4616709,15.32181534,18.84600886,43,29,47,23.30451489,16.21621622,-6.451612903
C-1,6,585531.5,67,8739.276119,0.056338028,Crown,21288,Sparky,4204,Rhino,498,K2,300,PortLand,120,,,5,80.60583112,26410,16.74537171,16.04999924,27.27000046,16.55888006,16.49124827,20.69000053,27,22,31,2.874727329,-37.20930233,-24.13793103
C-1,7,576539.5,64,9008.429688,0.044776119,Crown,19751,Sparky,4780,Rhino,4596,K2,2910,Lamby,1705,Bull,216,7,57.99224852,34058,18.30579353,10.47934121,28.12187609,16.97347886,17.31251002,21.84978262,62,50,81,28.95872775,129.6296296,127.2727273
C-1,8,540051,63,8572.238095,0.015625,Crown,31256,Sparky,4393,Rhino,1572,Lamby,471,PortLand,31,,,5,82.85661268,37723,16.97260346,10.52799988,25.82717571,16.90204276,14.96508395,25.82717571,49,36,60,10.76105467,-20.96774194,-28
C-1,9,536091.1,59,9086.289831,0.063492063,Crown,16864,K2,3936,Sparky,1241,Curfu,1000,Bull,552,Lamby,61,6,71.29449565,23654,18.10075035,10.3629316,27.27000046,16.46310606,27.27000046,10.3629316,25,19,32,-37.29554913,-48.97959184,-47.22222222
C-2,1,657344.2,73,9004.715068,,Crown,31344,,,,,,,,,,,1,100,31344,16.08018813,16.08018813,16.08018813,16.08018813,,,15,8,26,,,
C-2,2,631480.2,72,8770.558333,0.01369863,Crown,13618,,,,,,,,,,,1,100,13618,16.42659417,16.42659417,16.42659417,16.42659417,,,20,11,30,-56.55308831,33.33333333,37.5
C-2,3,623031.5,71,8775.091549,0.013888889,Crown,21011,Rhino,2448,,,,,,,,,2,89.56477258,23459,17.03032729,16.66688161,20.14975423,16.66688161,20.14975423,,17,7,23,72.26464973,-15,-36.36363636
