conveyor,month,all_salary,workers,avg_pay,attrition,cus1,cus1ps,cus2,cus2ps,cus3,cus3ps,cus4,cus4ps,cus5,cus5ps,allps,cus1price,cus2price,cus3price,totalPairSale,avgprice,minprice,maxprice,numbuyers,numstyles,numartno,numbatches,cus6,cus6ps,cus1share,pschange,stylesch,artnoch,mbordering,mbleadtime,mbpricing,mbpay
B-1,7,1077967.9,114,9455.858772,0.033898305,Bull,10536.0,Rhino,10224.0,Sparky,4140.0,,,,,24900,16.72921445,24.30933671,18.33596756,500708.5677,20.10877782,16.72921445,24.30933671,3,26,18,36,,,42.31325301,-8.717647921,-3.0,-2.0,3.0,2.0,2.5,2.0
B-1,8,1053509.9,111,9491.08018,0.026315789,Rhino,15294.0,Bull,15084.0,PortLand,1971.0,Sparky,1210.0,,,33559,23.14017274,16.92784426,21.85337968,671058.8631,19.99639033,15.48797273,23.14017274,4,25,15,35,,,45.57346762,34.7751004,-1.0,-3.0,3.0,2.0,3.0,1.0
B-1,9,1016247.0,115,8836.930435,0.0,Sparky,7336.0,Bull,3312.0,Rhino,2640.0,METRO,580.0,Hannover,48.0,13916,19.45577847,17.24855073,20.05750008,266363.3123,19.14079565,17.24855073,26.0,5,21,17,23,,,52.71629779,-58.53273339,-4.0,2.0,3.0,2.0,2.5,2.0
B-2,1,834580.8,99,8430.109091,,Rhino,6453.0,Sparky,3511.0,K2,2340.0,TAMPA,1428.0,,,13732,17.34133903,17.11492057,26.34000015,256450.2668,18.67537626,15.98075597,26.34000015,4,13,11,25,,,46.99242645,,,,3.0,2.0,3.0,1.0
B-2,2,1022799.5,115,8893.908696,0.0,K2,7140.0,Rhino,3444.0,TAMPA,2040.0,,,,,12624,27.38926887,14.93216038,16.83823507,281335.7397,22.28578419,14.93216038,27.38926887,3,12,9,20,,,56.55893536,-8.068744538,-1.0,-2.0,,,,
B-2,3,1004735.6,135,7442.485926,0.0,K2,11124.0,Sparky,2016.0,Rhino,906.0,,,,,14046,27.1585868,15.32699966,18.17000008,349473.3709,24.88063299,15.32699966,27.1585868,3,10,6,15,,,79.19692439,11.26425856,-2.0,-3.0,,,,
B-2,4,1055753.5,131,8059.187023,0.02962963,K2,17040.0,,,,,,,,,17040,28.1628378,,,479894.7561,28.1628378,28.1628378,28.1628378,1,6,3,11,,,100.0,21.31567706,-4.0,-3.0,,,,
B-2,5,1050436.6,124,8471.262903,0.053435115,K2,12600.0,Rhino,1378.0,,,,,,,13978,27.42616215,15.90914408,,367492.4436,26.29077433,15.90914408,27.42616215,2,7,5,11,,,90.14165117,-17.96948357,1.0,2.0,,,,
B-2,6,1043330.5,125,8346.644,0.0,K2,14472.0,Rhino,2328.0,Sparky,1888.0,,,,,18688,27.58993396,21.0056701,14.12535565,474851.3957,25.40942828,14.12535565,27.58993396,3,11,7,12,,,77.44006849,33.6958077,4.0,2.0,,,,
B-2,7,972141.1,118,8238.483898,0.056,K2,31320.0,,,,,,,,,31320,28.22932745,,,884142.5358,28.22932745,28.22932745,28.22932745,1,9,3,21,,,100.0,67.59417808,-2.0,-4.0,,,,
