conveyor,month,all_salary,workers,avg_pay,attrition,cus1,cus1ps,cus2,cus2ps,cus3,cus3ps,cus4,cus4ps,cus5,cus5ps,allps,cus1price,cus2price,cus3price,avgprice,minprice,maxprice,numbuyers,numstyles,numartno,numbatches,cus6,cus6ps,cus1share,pschange,stylesch,artnoch
A-3,3,974002.1,111,8774.793694,0,Bull,5112,Rhino,1050,,,,,,,6162,16.92100973,21.54325764,,17.70863717,16.92100973,21.54325764,2,22,9,73,,,82.9600779,-26469,9,1
A-3,4,1008164.8,112,9001.471429,0,Bull,40452,,,,,,,,,40452,17.18140703,,,17.18140703,17.18140703,17.18140703,1,21,13,63,,,100,34290,-1,4
A-3,5,966849,109,8870.174312,0.026785714,Bull,24009,,,,,,,,,24009,17.62400129,,,17.62400129,17.62400129,17.62400129,1,9,6,53,,,100,-16443,-12,-7
A-3,6,964045.8,109,8844.456881,0,Bull,12612,Rhino,3450,,,,,,,16062,17.33325428,22.16561732,,18.37121048,17.33325428,22.16561732,2,26,14,61,,,78.52073216,-7947,17,8
A-3,7,932783.3,106,8799.842453,0.027522936,Bull,15768,Rhino,10104,Premium,501,,,,,26373,18.0760275,27.1710052,35.46680069,21.89085448,18.0760275,35.46680069,3,45,20,138,,,59.78841997,10311,19,6
A-3,8,923422.5,103,8965.26699,0.028301887,Bull,27324,Rhino,6891,,,,,,,34215,18.92459386,30.58146302,,21.27232104,18.92459386,30.58146302,2,15,8,91,,,79.85971065,7842,-30,-12
A-3,9,1040563.5,126,8258.440476,0,Bull,34338,Crown,468,Rhino,288,,,,,35094,18.22540198,17.84000015,30.47500038,18.32078912,17.84000015,30.47500038,3,24,14,82,,,97.8457856,879,9,6
A-4,1,1145621.9,116,9876.050862,,Rhino,25176,Bull,10098,,,,,,,35274,18.47385367,13.86102235,,17.1533238,13.86102235,18.47385367,2,73,14,136,,,71.37268243,,,
A-4,2,1173994,118,9949.101695,0,Rhino,20232,Bull,15294,,,,,,,35526,21.46091233,14.37593181,,18.41081685,14.37593181,21.46091233,2,53,18,130,,,56.94983955,252,-20,4
A-4,3,1123469.6,120,9362.246667,0,Rhino,28080,Bull,12684,,,,,,,40764,20.32090184,15.09508016,,18.69485135,15.09508016,20.32090184,2,41,13,84,,,68.88430969,5238,-12,-5
A-4,4,1123315.2,119,9439.623529,0.008333333,Rhino,29792,Bull,3816,,,,,,,33608,21.75735021,15.57185577,,21.055022,15.57185577,21.75735021,2,31,17,77,,,88.64556058,-7156,-10,4
A-4,5,1107889.2,116,9550.768966,0.025210084,Rhino,24743,Bull,5028,Sparky,726,,,,,30497,22.0691743,18.33759002,16.33317184,21.31740385,16.33317184,22.0691743,3,33,13,87,,,81.13257042,-3111,2,-4
A-4,6,1096629.7,119,9215.37563,0,Rhino,29029,Bull,1200,Curfu,114,,,,,30343,20.9385268,13.85000038,28.70999908,20.68738869,13.85000038,28.70999908,3,43,13,141,,,95.66951191,-154,10,0
A-4,7,1097027.4,117,9376.302564,0.016806723,Rhino,25800,Curfu,1818,Bull,72,,,,,27690,21.05558963,27.20000076,14.5,21.44195789,14.5,27.20000076,3,46,12,120,,,93.1744312,-2653,3,-1
A-4,8,1075420.1,114,9433.509649,0.025641026,Rhino,22670,Bull,342,,,,,,,23012,20.56276719,21.20000076,,20.57223764,20.56276719,21.20000076,2,43,6,136,,,98.51381888,-4678,-3,-6
A-4,9,1098572.3,117,9389.506838,0,Crown,10574,Bull,9027,Rhino,7716,,,,,27317,12.63111214,14.39847143,22.54179613,16.01452869,12.63111214,22.54179613,3,49,13,77,,,38.70849654,4305,6,7
B-1,1,1147866.6,125,9182.9328,,Sparky,15837,Rhino,14792,,,,,,,30629,17.89496676,20.78535302,,19.2908528,17.89496676,20.78535302,2,55,26,78,,,51.70589964,,,
B-1,2,1131376.5,119,9507.365546,0.048,Rhino,20647,Sparky,4614,PortLand,350,,,,,25611,18.05097458,16.57209046,18,17.78384669,16.57209046,18.05097458,3,38,19,68,,,80.61770333,-5018,-17,-7
B-1,3,1101308.7,121,9101.724793,0,Sparky,20871,Rhino,14831,,,,,,,35702,17.04689922,18.84814714,,17.79515724,17.04689922,18.84814714,2,51,33,90,,,58.45890986,10091,13,14
B-1,4,1064643.2,119,8946.581513,0.016528926,Rhino,18285,Sparky,6780,Bull,1476,,,,,26541,20.31360719,15.9200481,19.95000076,19.17103481,15.9200481,20.31360719,3,51,21,89,,,68.8934102,-9161,0,-12
B-1,5,1048040.3,118,8881.697458,0.008403361,Sparky,14725,Rhino,7825,,,,,,,22550,17.63069706,20.5623579,,18.64800287,17.63069706,20.5623579,2,47,33,78,,,65.29933481,-3991,-4,12
B-1,6,1102741.5,118,9345.266949,0,Rhino,15974,Sparky,8784,PortLand,2520,,,,,27278,22.49225684,14.75913461,21.95000076,19.9519595,14.75913461,22.49225684,3,40,20,56,,,58.56001173,4728,-7,-13
B-1,7,1077967.9,114,9455.858772,0.033898305,Bull,10536,Rhino,10224,Sparky,4140,,,,,24900,16.72921445,24.30933671,18.33596756,20.10877782,16.72921445,24.30933671,3,40,18,53,,,42.31325301,-2378,0,-2
B-1,8,1053509.9,111,9491.08018,0.026315789,Rhino,15294,Bull,15084,PortLand,1971,Sparky,1210,,,33559,23.14017274,16.92784426,21.85337968,19.99639033,15.48797273,23.14017274,4,33,15,46,,,45.57346762,8659,-7,-3
B-1,9,1016247,115,8836.930435,0,Sparky,7336,Bull,3312,Rhino,2640,METRO,580,Hannover,48,13916,19.45577847,17.24855073,20.05750008,19.14079565,17.24855073,26,5,27,17,44,,,52.71629779,-19643,-6,2
B-2,1,834580.8,99,8430.109091,,Rhino,6453,Sparky,3511,K2,2340,TAMPA,1428,,,13732,17.34133903,17.11492057,26.34000015,18.67537626,15.98075597,26.34000015,4,20,11,33,,,46.99242645,,,
B-2,2,1022799.5,115,8893.908696,0,K2,7140,Rhino,3444,TAMPA,2040,,,,,12624,27.38926887,14.93216038,16.83823507,22.28578419,14.93216038,27.38926887,3,12,9,22,,,56.55893536,-1108,-8,-2
B-2,3,1004735.6,135,7442.485926,0,K2,11124,Sparky,2016,Rhino,906,,,,,14046,27.1585868,15.32699966,18.17000008,24.88063299,15.32699966,27.1585868,3,10,6,17,,,79.19692439,1422,-2,-3
B-2,4,1055753.5,131,8059.187023,0.02962963,K2,17040,,,,,,,,,17040,28.1628378,,,28.1628378,28.1628378,28.1628378,1,10,3,16,,,100,2994,0,-3
B-2,5,1050436.6,124,8471.262903,0.053435115,K2,12600,Rhino,1378,,,,,,,13978,27.42616215,15.90914408,,26.29077433,15.90914408,27.42616215,2,13,5,17,,,90.14165117,-3062,3,2
B-2,6,1043330.5,125,8346.644,0,K2,14472,Rhino,2328,Sparky,1888,,,,,18688,27.58993396,21.0056701,14.12535565,25.40942828,14.12535565,27.58993396,3,11,7,12,,,77.44006849,4710,-2,2
B-2,7,972141.1,118,8238.483898,0.056,K2,31320,,,,,,,,,31320,28.22932745,,,28.22932745,28.22932745,28.22932745,1,9,3,21,,,100,12632,-2,-4
B-2,8,942805.1,112,8417.902679,0.050847458,K2,18030,,,,,,,,,18030,28.16304802,,,28.16304802,28.16304802,28.16304802,1,5,3,5,,,100,-13290,-4,0
B-2,9,861845.7,107,8054.63271,0.044642857,K2,20478,Rhino,2256,,,,,,,22734,26.3653707,17.67686191,,25.50316977,17.67686191,26.3653707,2,10,6,15,,,90.07653734,4704,5,3
B-3,1,1039395.2,113,9198.187611,,Sparky,25052,PortLand,3489,Reliance-B,133,,,,,28674,17.0216458,18.60675025,21.73501587,17.23638067,17.0216458,21.73501587,3,24,11,37,,,87.36834763,,,
B-3,2,1064642.8,114,9338.97193,0,Sparky,28195,PortLand,2358,Joburg,401,,,,,30954,16.86446381,17.17951673,25.29999924,16.99774366,16.86446381,25.29999924,3,20,9,40,,,91.08677392,2280,-4,-2
B-3,3,1043005.6,118,8839.030508,0,Sparky,33605,PortLand,240,,,,,,,33845,17.78276426,17.85000038,,17.78324105,17.78276426,17.85000038,2,21,13,41,,,99.29088492,2891,1,4
B-3,4,945685.3,115,8223.350435,0.025423729,Sparky,26894,PortLand,288,,,,,,,27182,16.87967364,16.04999924,,16.87088304,16.04999924,16.87967364,2,48,24,147,,,98.94047531,-6663,27,11
B-3,5,978177.5,114,8580.504386,0.008695652,Sparky,26577,PortLand,324,,,,,,,26901,16.16181846,16.04999924,,16.16047169,16.04999924,16.16181846,2,55,21,71,,,98.79558381,-281,7,-3
B-3,6,1007703.7,108,9330.589815,0.052631579,Sparky,29491,Rhino,588,,,,,,,30079,18.03790944,18.34000015,,18.04381487,18.03790944,18.34000015,2,44,23,64,,,98.04514778,3178,-11,2
B-3,7,983104.1,111,8856.793694,0,Sparky,25824,Rhino,6773,,,,,,,32597,19.48392156,22.6118602,,20.13384421,19.48392156,22.6118602,2,34,23,50,,,79.2220143,2518,-10,0
B-3,8,1013315.6,113,8967.39469,0,Sparky,17444,Tilden,9594,Rhino,1657,PortLand,888,,,29583,16.44876036,24.55000019,25.42793004,19.72341676,16.44876036,25.42793004,4,31,19,51,,,58.96629821,-3014,-3,-4
B-3,9,1041660.6,118,8827.632203,0,Crown,11268,Sparky,10782,,,,,,,22050,17.62726324,16.82647491,,17.23569409,16.82647491,17.62726324,2,24,11,43,,,51.10204082,-7533,-7,-8
B-4,1,1045119.8,119,8782.519328,,T4,20026,Crown,7200,Sparky,5747,PortLand,4480,Reliance-B,48,37501,15.80000019,19.09499073,18.69781405,17.38757247,15.80000019,21.73501587,5,18,15,38,,,53.40124263,,,
B-4,2,1078708.3,116,9299.209483,0.025210084,Sparky,22944,PortLand,6486,Joburg,1201,Rhino,60,,,30691,17.51994621,19.04646953,22.53272222,18.05221878,17.51994621,24.43000031,4,30,23,53,,,74.7580724,-6810,12,8
B-4,3,1032239.6,118,8747.79322,0,Sparky,21696,Rhino,4734,PortLand,2948,,,,,29378,17.21155784,21.3834344,19.02449147,18.06574097,17.21155784,21.3834344,3,41,24,62,,,73.85118116,-1313,11,1
B-4,4,930334.4,111,8381.390991,0.059322034,Sparky,18202,Rhino,3480,Crown,2988,,,,,24670,15.79783752,20.62055165,16.05549149,16.50934604,15.79783752,20.62055165,3,50,26,80,,,73.78192136,-4708,9,2
B-4,5,981126,116,8457.982759,0,Sparky,23842,Bernie,800,,,,,,,24642,16.19001365,21.65376091,,16.36739364,16.19001365,21.65376091,2,60,35,77,,,96.75351027,-28,10,9
B-4,6,1034608.8,115,8996.598261,0.00862069,Sparky,28987,Addison,3000,,,,,,,31987,15.70557299,21.68333371,,16.26621582,15.70557299,21.68333371,2,27,25,40,,,90.62118986,7345,-33,-10
B-4,7,1055478.6,115,9178.074783,0,Sparky,31149,Addison,3000,Hannover,240,,,,,34389,16.64358109,23.11666679,28.75,17.29276536,16.64358109,28.75,3,43,34,58,,,90.57838262,2402,16,9
B-4,8,1056341.5,117,9028.559829,0,Sparky,26458,,,,,,,,,26458,18.41827553,,,18.41827553,18.41827553,18.41827553,1,27,20,35,,,100,-7931,-16,-14
B-4,9,967285.6,116,8338.668966,0.008547009,Sparky,9906,Crown,9428,Hannover,240,,,,,19574,16.67882625,18.16920692,27.125,17.52476426,16.67882625,27.125,3,29,18,45,,,50.60794932,-6884,2,-2
C-1,1,670368.3,74,9059.031081,,Crown,13602,Rhino,2452,Sparky,2393,PortLand,952,Decathlon,522,19942,15.57857926,20.42893962,17.24916487,16.29338031,6.286480427,20.42893962,6,45,20,59,T4,21,68.20780263,,,
C-1,2,668336.8,76,8793.905263,0,Crown,16574,Rhino,4124,Bull,3204,Sparky,3050,PortLand,634,27586,15.67451828,19.62629949,16.18539254,16.40690309,15.67451828,19.62629949,5,53,24,80,,,60.08120061,7644,8,4
C-1,3,617102.5,71,8691.584507,0.065789474,Crown,21203,Sparky,5045,Rhino,3404,K2,612,PortLand,270,30534,15.54684929,13.88514958,20.14294668,16.05212732,13.88514958,28.06803924,5,53,31,65,,,69.44062357,2948,0,7
C-1,4,543027.7,63,8619.487302,0.112676056,Crown,12833,Sparky,3742,Rhino,3702,Bernie,1850,PortLand,244,22371,16.21453213,18.02966032,21.56064884,17.52856216,16.21453213,21.56064884,5,38,20,50,,,57.36444504,-8163,-15,-11
C-1,5,593887.3,71,8364.609859,0,Crown,11508,Rhino,7506,Sparky,6574,K2,1422,Bernie,1050,28790,15.44619365,22.73207858,15.99028582,18.30540869,15.44619365,27.77320653,7,86,42,126,PortLand,658,39.97221257,6419,48,22
C-1,6,585531.5,67,8739.276119,0.056338028,Crown,22116,K2,2310,Sparky,2225,Rhino,144,,,26795,16.75117922,27.93171414,16.69002174,17.7394737,16.69002174,27.93171414,4,57,24,69,,,82.5377869,-1995,-29,-18
C-1,7,576539.5,64,9008.429688,0.044776119,Crown,22807,Sparky,3212,Rhino,1356,K2,192,,,27567,16.58795791,16.82670747,22.51163756,16.99548594,16.58795791,29.27000046,4,54,20,79,,,82.73297784,772,-3,-4
C-1,8,540051,63,8572.238095,0.015625,Crown,23838,Sparky,1400,Rhino,1096,Bull,216,PortLand,131,26681,17.03121031,14.39723146,27.86645986,17.34165157,14.39723146,27.86645986,5,49,22,69,,,89.34447734,-886,-5,2
C-1,9,536091.1,59,9086.289831,0.063492063,Crown,12983,K2,3936,Sparky,553,Rhino,144,,,17616,16.85223171,27.27000046,14.72172384,19.21772249,14.72172384,29.65999985,4,36,18,38,,,73.70004541,-9065,-13,-4
C-2,1,657344.2,73,9004.715068,,Crown,19759,,,,,,,,,19759,16.18112174,,,16.18112174,16.18112174,16.18112174,1,12,8,16,,,100,,,
C-2,2,631480.2,72,8770.558333,0.01369863,Crown,14221,Rhino,1428,,,,,,,15649,16.38578692,20.12999916,,16.72745317,16.38578692,20.12999916,2,20,12,30,,,90.87481628,-4110,8,4
C-2,3,623031.5,71,8775.091549,0.013888889,Crown,17454,Rhino,3050,,,,,,,20504,16.74490901,20.55759979,,17.31205234,16.74490901,20.55759979,2,15,6,25,,,85.12485369,4855,-5,-6
C-2,4,533033.9,71,7507.519718,0,Crown,6239,Rhino,2902,Bernie,450,,,,,9591,16.27435972,20.32354557,18.83426094,17.61965144,16.27435972,20.32354557,3,20,10,25,,,65.05056824,-10913,5,4
C-2,5,583085.6,71,8212.473239,0,Crown,21507,Bernie,1300,,,,,,,22807,16.13450529,19.32986245,,16.31664078,16.13450529,19.32986245,2,19,11,23,,,94.29999562,13216,-1,1
C-2,6,525646.4,63,8343.593651,0.112676056,Crown,12014,,,,,,,,,12014,17.07743044,,,17.07743044,17.07743044,17.07743044,1,28,10,33,,,100,-10793,9,-1
