conveyor,month,all_salary,workers,avg_pay,attrition,cus1,cus1ps,cus2,cus2ps,cus3,cus3ps,cus4,cus4ps,cus5,cus5ps,allps,cus1price,cus2price,cus3price,totalPairNum,avgprice,minprice,maxprice,numbuyers,numstyles,numartno,numbatches,cus6,cus6ps,cus1share,pschange,stylesch,artnoch,mbordering,mbleadtime,mbpricing,mbpay
B-2,9,861845.7,107,8054.63271,0.044642857142857095,K2,20478.0,Rhino,2256.0,,,,,,,22734.0,26.365370699292644,17.676861910109825,,579789.0616493225,25.503169774316994,17.676861910109825,26.365370699292644,2.0,10.0,6.0,13.0,,,90.07653734494589,26.089850249584035,5.0,3.0,,,,
B-3,1,1039395.2,113,9198.187611,,Sparky,25052.0,PortLand,3489.0,Reliance-B,133.0,,,,,28674.0,17.02164579682622,18.606750248837656,21.735015869140625,494235.97923088074,17.236380666488134,17.02164579682622,21.735015869140625,3.0,20.0,11.0,31.0,,,87.36834763200112,,,,3,2,2.5,2
B-3,2,1064642.8,114,9338.97193,0.0,Sparky,28195.0,PortLand,2358.0,Joburg,401.0,,,,,30954.0,16.86446380994066,17.179516731631058,25.299999237060547,526148.1572685242,16.99774366054546,16.86446380994066,25.299999237060547,3.0,19.0,9.0,39.0,,,91.08677392259482,7.951454279137904,-1.0,-2.0,3,2,2.5,2
B-3,3,1043005.6,118,8839.030508,0.0,Sparky,33605.0,PortLand,240.0,,,,,,,33845.0,17.78276426391647,17.850000381469727,,601873.7931804657,17.78324104536758,17.78276426391647,17.850000381469727,2.0,21.0,13.0,41.0,,,99.29088491653124,9.33966530981456,2.0,4.0,3,2,2.5,2
B-3,4,945685.3,115,8223.350435,0.025423728813559365,Sparky,26894.0,PortLand,288.0,,,,,,,27182.0,16.87967364446039,16.049999237060547,,458584.3427743912,16.8708830393051,16.049999237060547,16.87967364446039,2.0,30.0,24.0,45.0,,,98.94047531454639,-19.686807504801294,9.0,11.0,3,2,2.5,2
B-3,5,978177.5,114,8580.504386,0.008695652173912993,Sparky,26577.0,PortLand,324.0,,,,,,,26901.0,16.161818458007968,16.049999237060547,,434732.8489112854,16.160471689204318,16.049999237060547,16.161818458007968,2.0,29.0,21.0,43.0,,,98.79558380729341,-1.0337723493488382,-1.0,-3.0,3,2,2.5,2
B-3,6,1007703.7,108,9330.589815,0.052631578947368474,Sparky,29491.0,Rhino,588.0,,,,,,,30079.0,18.037909442235065,18.34000015258789,,542739.907450676,18.043814869200304,18.037909442235065,18.34000015258789,2.0,27.0,23.0,44.0,,,98.0451477775192,11.813687223523296,-2.0,2.0,3,2,2.5,2
B-3,7,983104.1,111,8856.793694,0.0,Sparky,25824.0,Rhino,6773.0,,,,,,,32597.0,19.48392156434916,22.61186019867047,,656302.9196033478,20.133844206624776,19.48392156434916,22.61186019867047,2.0,33.0,23.0,48.0,,,79.2220142957941,8.371288939126975,6.0,0.0,3,2,2.5,2
B-3,8,1013315.6,113,8967.39469,0.0,Sparky,17444.0,Tilden,9594.0,Rhino,1657.0,PortLand,888.0,,,29583.0,16.448760362481668,24.550000190734863,25.42793003535803,583477.8378648758,19.72341675505783,16.448760362481668,25.42793003535803,4.0,27.0,19.0,41.0,,,58.966298211810845,-9.246249654876216,-6.0,-4.0,3,2,2.5,2
B-3,9,1041660.6,118,8827.632203,0.0,Crown,11268.0,Sparky,10782.0,,,,,,,22050.0,17.627263244856408,16.82647490735798,,380047.0546941757,17.23569409043881,16.82647490735798,17.627263244856408,2.0,17.0,11.0,23.0,,,51.102040816326536,-25.463948889564957,-10.0,-8.0,3,2,3,2
