,QuestID,Country,year,FactoryAssessedID,buyer1name,buyer2name,buyer3name,buyer1BW,buyer2BW,buyer3BW,buyer1FTindex,buyer2FTindex,buyer3FTindex
5148,26384,Vietnam,2018,2230,kohl's,adidas,gunze,,,,8,58,-1
5149,33852,Vietnam,2019,2230,kohl's,adidas,gunze,,,,8,58,-1
5150,39479,Vietnam,2020,2230,kohl's,adidas,gunze,,,,8,58,-1
5151,20069,Vietnam,2017,2234,justice,adidas,belk,,,,-1,58,-1
5152,26887,Vietnam,2018,2234,justice,adidas,belk,,,,-1,58,-1
5153,35963,Vietnam,2019,2234,justice,adidas,belk,,,,-1,58,-1
5154,39422,Vietnam,2020,2234,justice,adidas,belk,,,,-1,58,-1
5155,42302,Vietnam,2021,2234,justice,adidas,belk,,,,-1,58,-1
5156,21100,Indonesia,2017,2235,kohl's,target,carter's,0.0,1.0,0.0,8,35,-1
5157,20479,Indonesia,2017,2244,tweenbrand/ags,gap,,0.0,1.0,,-1,54,-2
5158,27369,Indonesia,2018,2244,tweenbrand/ags,gap,,0.0,1.0,,-1,54,-2
5159,34422,Indonesia,2019,2244,tweenbrand/ags,gap,,0.0,1.0,,-1,54,-2
5160,28940,Indonesia,2018,2246,gap,s oliver,tom tailor,1.0,0.0,0.0,54,-1,-1
5161,35283,Indonesia,2019,2246,gap,s oliver,tom tailor,1.0,0.0,0.0,54,-1,-1
5162,26038,Indonesia,2018,2254,gap,aeropostale,,1.0,0.0,,54,5,-2
5163,32761,Indonesia,2019,2254,gap,aeropostale,,1.0,0.0,,54,5,-2
5164,19550,Bangladesh,2017,2261,2xist,bon-ton,sears,0.0,0.0,0.0,-1,-1,-1
5165,27252,Bangladesh,2018,2261,2xist,bon-ton,sears,0.0,0.0,0.0,-1,-1,-1
5166,20194,Bangladesh,2017,2262,h&m,gap,aeon,1.0,1.0,0.0,55,54,-1
5167,29345,Bangladesh,2018,2262,h&m,gap,aeon,1.0,1.0,0.0,55,54,-1
5168,35609,Bangladesh,2019,2262,h&m,gap,aeon,1.0,1.0,0.0,55,54,-1
5169,22050,Indonesia,2017,2263,walmart,target,others,0.0,1.0,0.0,25,35,1
5170,29653,Indonesia,2018,2263,walmart,target,others,0.0,1.0,0.0,25,35,1
5171,36253,Indonesia,2019,2263,walmart,target,others,0.0,1.0,0.0,25,35,1
5172,22407,Indonesia,2017,2264,matahari,,,0.0,,,-1,-2,-2
5173,20417,Vietnam,2017,2265,forever 21,belk,,,,,6,-1,-2
5174,27734,Vietnam,2018,2265,forever 21,belk,,,,,6,-1,-2
5175,34613,Vietnam,2019,2265,forever 21,belk,,,,,6,-1,-2
5176,40235,Vietnam,2020,2265,forever 21,belk,,,,,6,-1,-2
5177,20522,Vietnam,2017,2266,express,chaus/vince camuto,portmans,,,,7,-1,-1
5178,27789,Vietnam,2018,2266,express,chaus/vince camuto,portmans,,,,7,-1,-1
5179,34493,Vietnam,2019,2266,express,chaus/vince camuto,portmans,,,,7,-1,-1
5180,39984,Vietnam,2020,2266,express,chaus/vince camuto,portmans,,,,7,-1,-1
5181,21540,Cambodia,2017,2267,gap,esprit,loblaw,1.0,1.0,0.0,54,54,-1
5182,38018,Cambodia,2019,2267,gap,esprit,loblaw,1.0,1.0,0.0,54,54,-1
5183,41145,Cambodia,2021,2267,gap,esprit,loblaw,1.0,1.0,0.0,54,54,-1
5184,19578,Vietnam,2017,2270,london fog,michael kors,massimo dutti,,,,-1,7,42
5185,20792,Cambodia,2017,2273,aramark,carhartt,o'neill,0.0,0.0,0.0,-1,-1,-1
5186,29089,Cambodia,2018,2273,aramark,carhartt,o'neill,0.0,0.0,0.0,-1,-1,-1
5187,36527,Cambodia,2019,2273,aramark,carhartt,o'neill,0.0,0.0,0.0,-1,-1,-1
5188,42174,Cambodia,2021,2273,aramark,carhartt,o'neill,0.0,0.0,0.0,-1,-1,-1
5189,20028,Cambodia,2017,2274,primark,,,1.0,,,36,-2,-2
5190,28680,Cambodia,2018,2274,primark,,,1.0,,,36,-2,-2
5191,37156,Cambodia,2019,2274,primark,,,1.0,,,36,-2,-2
5192,41596,Cambodia,2021,2274,primark,,,1.0,,,36,-2,-2
5193,19976,Vietnam,2017,2275,gap,target,kohl's,,,,54,35,8
5194,26485,Vietnam,2018,2275,gap,target,kohl's,,,,54,35,8
5195,33615,Vietnam,2019,2275,gap,target,kohl's,,,,54,35,8
5196,39270,Vietnam,2020,2275,gap,target,kohl's,,,,54,35,8
5197,41903,Vietnam,2021,2275,gap,target,kohl's,,,,54,35,8
5198,20656,Vietnam,2017,2276,gap,kohl's,target,,,,54,8,35
5199,28370,Vietnam,2018,2276,gap,kohl's,target,,,,54,8,35
5200,35167,Vietnam,2019,2276,gap,kohl's,target,,,,54,8,35
5201,39564,Vietnam,2020,2276,gap,kohl's,target,,,,54,8,35
5202,20875,Vietnam,2017,2277,elie tahari,theory,alice and olivia,,,,-1,-1,-1
5203,20987,Cambodia,2017,2278,,,,,,,-2,-2,-2
5204,28296,Cambodia,2018,2278,,,,,,,-2,-2,-2
5205,34398,Cambodia,2019,2278,,,,,,,-2,-2,-2
5206,41076,Cambodia,2021,2278,,,,,,,-2,-2,-2
5207,21174,Indonesia,2017,2279,,,,,,,-2,-2,-2
5208,21057,Cambodia,2017,2280,matalan,,,0.0,,,5,-2,-2
5209,29082,Cambodia,2018,2280,matalan,,,0.0,,,5,-2,-2
5210,42684,Cambodia,2021,2280,matalan,,,0.0,,,5,-2,-2
5211,19937,Vietnam,2017,2281,target,kohl's,ongoods,,,,35,8,-1
5212,27311,Vietnam,2018,2281,target,kohl's,ongoods,,,,35,8,-1
5213,33921,Vietnam,2019,2281,target,kohl's,ongoods,,,,35,8,-1
5214,40192,Vietnam,2020,2281,target,kohl's,ongoods,,,,35,8,-1
5215,24691,Cambodia,2017,2282,,,,,,,-2,-2,-2
5216,32499,Cambodia,2019,2282,,,,,,,-2,-2,-2
5217,42593,Cambodia,2021,2282,,,,,,,-2,-2,-2
5218,20276,Vietnam,2017,2283,zara,target,talbots,,,,42,35,-1
5219,27373,Vietnam,2018,2283,zara,target,talbots,,,,42,35,-1
5220,34174,Vietnam,2019,2283,zara,target,talbots,,,,42,35,-1
5221,39451,Vietnam,2020,2283,zara,target,talbots,,,,42,35,-1
5222,42443,Vietnam,2021,2283,zara,target,talbots,,,,42,35,-1
5223,21497,Indonesia,2017,2284,h&m,lidl,express,1.0,0.0,0.0,55,15,7
5224,29943,Indonesia,2018,2284,h&m,lidl,express,1.0,0.0,0.0,55,15,7
5225,36740,Indonesia,2019,2284,h&m,lidl,express,1.0,0.0,0.0,55,15,7
5226,21448,Indonesia,2017,2285,uniqlo,gu,daiwabo,0.0,0.0,0.0,29,37,-1
5227,28821,Indonesia,2018,2285,uniqlo,gu,daiwabo,0.0,0.0,0.0,29,37,-1
5228,35599,Indonesia,2019,2285,uniqlo,gu,daiwabo,0.0,0.0,0.0,29,37,-1
5229,21676,Indonesia,2017,2286,target,kohl's,uniqlo,1.0,0.0,0.0,35,8,29
5230,28874,Indonesia,2018,2286,target,kohl's,uniqlo,1.0,0.0,0.0,35,8,29
5231,35560,Indonesia,2019,2286,target,kohl's,uniqlo,1.0,0.0,0.0,35,8,29
5232,19819,Indonesia,2017,2289,walmart,kohl's,,0.0,0.0,,25,8,-2
5233,26854,Indonesia,2018,2289,walmart,kohl's,,0.0,0.0,,25,8,-2
5234,33200,Indonesia,2019,2289,walmart,kohl's,,0.0,0.0,,25,8,-2
5235,42779,Indonesia,2021,2289,walmart,kohl's,,0.0,0.0,,25,8,-2
5236,20484,Indonesia,2017,2290,gap,komine,louise,1.0,0.0,0.0,54,-1,-1
5237,27318,Indonesia,2018,2290,gap,komine,louise,1.0,0.0,0.0,54,-1,-1
5238,33361,Indonesia,2019,2290,gap,komine,louise,1.0,0.0,0.0,54,-1,-1
5239,23506,Indonesia,2017,2292,gap,h&m,target,1.0,1.0,1.0,54,55,35
5240,20062,Indonesia,2017,2293,target,the children's place,,1.0,1.0,,35,-1,-2
5241,20787,Vietnam,2017,2294,target,kohl's,columbia,,,,35,8,22
5242,27312,Vietnam,2018,2294,target,kohl's,columbia,,,,35,8,22
5243,34009,Vietnam,2019,2294,target,kohl's,columbia,,,,35,8,22
5244,39867,Vietnam,2020,2294,target,kohl's,columbia,,,,35,8,22
5245,42728,Vietnam,2021,2294,target,kohl's,columbia,,,,35,8,22
5246,20064,Vietnam,2017,2295,carter's,primark,the children's place,,,,-1,36,-1
5247,27094,Vietnam,2018,2295,carter's,primark,the children's place,,,,-1,36,-1
5248,34778,Vietnam,2019,2295,carter's,primark,the children's place,,,,-1,36,-1
5249,39539,Vietnam,2020,2295,carter's,primark,the children's place,,,,-1,36,-1
5250,19742,Indonesia,2017,2297,target,gap,ascena,1.0,1.0,1.0,35,54,-1
5251,26948,Indonesia,2018,2297,target,gap,ascena,1.0,1.0,1.0,35,54,-1
5252,33848,Indonesia,2019,2297,target,gap,ascena,1.0,1.0,1.0,35,54,-1
5253,20818,Vietnam,2017,2298,kohl's,target,nike,,,,8,35,36
5254,28599,Vietnam,2018,2298,kohl's,target,nike,,,,8,35,36
5255,34566,Vietnam,2019,2298,kohl's,target,nike,,,,8,35,36
5256,39606,Vietnam,2020,2298,kohl's,target,nike,,,,8,35,36
5257,43395,Vietnam,2021,2298,kohl's,target,nike,,,,8,35,36
5258,20469,Indonesia,2017,2299,target,walmart,aeropostale,1.0,0.0,0.0,35,25,5
5259,28388,Indonesia,2018,2299,target,walmart,aeropostale,1.0,0.0,0.0,35,25,5
5260,22833,Indonesia,2017,2301,express,tom tailor,s. oliver,0.0,0.0,0.0,7,-1,0
5261,20072,Vietnam,2017,2302,pan pacific,nippon sigmax,unico,,,,-1,-1,-1
5262,27809,Vietnam,2018,2302,pan pacific,nippon sigmax,unico,,,,-1,-1,-1
5263,36309,Vietnam,2019,2302,pan pacific,nippon sigmax,unico,,,,-1,-1,-1
5264,40069,Vietnam,2020,2302,pan pacific,nippon sigmax,unico,,,,-1,-1,-1
5265,23078,Indonesia,2017,2303,express,h&m,tom tailor,0.0,1.0,0.0,7,55,-1
5266,20068,Vietnam,2017,2305,adidas,nike,vf,,,,58,36,-1
5267,34654,Vietnam,2019,2305,adidas,nike,vf,,,,58,36,-1
5268,39643,Vietnam,2020,2305,adidas,nike,vf,,,,58,36,-1
5269,42868,Vietnam,2021,2305,adidas,nike,vf,,,,58,36,-1
5270,20033,Bangladesh,2017,2307,marks & spencer,puma,ralph lauren,1.0,1.0,1.0,51,56,14
5271,29629,Bangladesh,2018,2307,marks & spencer,puma,ralph lauren,1.0,1.0,1.0,51,56,14
5272,37403,Bangladesh,2019,2307,marks & spencer,puma,ralph lauren,1.0,1.0,1.0,51,56,14
5273,20564,Bangladesh,2017,2308,pvh,levis,techno design ltd.,1.0,1.0,0.0,-1,-1,-1
5274,21664,Bangladesh,2017,2310,h&m,walmart,puma,1.0,0.0,1.0,55,25,56
5275,28958,Bangladesh,2018,2310,h&m,walmart,puma,1.0,0.0,1.0,55,25,56
5276,36412,Bangladesh,2019,2310,h&m,walmart,puma,1.0,0.0,1.0,55,25,56
5277,20049,Bangladesh,2017,2311,pvh,,,1.0,,,-1,-2,-2
5278,29340,Bangladesh,2018,2311,pvh,,,1.0,,,-1,-2,-2
5279,20055,Bangladesh,2017,2312,pvh,gap,sears,1.0,1.0,0.0,-1,54,-1
5280,28907,Bangladesh,2018,2312,pvh,gap,sears,1.0,1.0,0.0,-1,54,-1
5281,35038,Bangladesh,2019,2312,pvh,gap,sears,1.0,1.0,0.0,-1,54,-1
5282,20059,Bangladesh,2017,2313,pvh,cohl's,gap,1.0,0.0,1.0,-1,-1,54
5283,29056,Bangladesh,2018,2313,pvh,cohl's,gap,1.0,0.0,1.0,-1,-1,54
5284,35782,Bangladesh,2019,2313,pvh,cohl's,gap,1.0,0.0,1.0,-1,-1,54
5285,20040,Bangladesh,2017,2314,pvh,kohl's,gap,1.0,0.0,1.0,-1,8,54
5286,29057,Bangladesh,2018,2314,pvh,kohl's,gap,1.0,0.0,1.0,-1,8,54
5287,35930,Bangladesh,2019,2314,pvh,kohl's,gap,1.0,0.0,1.0,-1,8,54
5288,23097,Indonesia,2017,2316,gap,target,,1.0,1.0,,54,35,-2
5289,21000,Bangladesh,2017,2318,marks & spencer,puma,olymp,1.0,1.0,0.0,51,56,-1
5290,30982,Bangladesh,2018,2318,marks & spencer,puma,olymp,1.0,1.0,0.0,51,56,-1
5291,39185,Bangladesh,2020,2318,marks & spencer,puma,olymp,1.0,1.0,0.0,51,56,-1
5292,19424,Haiti,2017,2319,gap,hanesbrands,kohl's,,,,54,-1,8
5293,26331,Haiti,2018,2319,gap,hanesbrands,kohl's,,,,54,-1,8
5294,34594,Haiti,2019,2319,gap,hanesbrands,kohl's,,,,54,-1,8
5295,41940,Haiti,2021,2319,gap,hanesbrands,kohl's,,,,54,-1,8
