QuestID,Country,year,FactoryAssessedID,buyer1name,buyer2name,buyer3name,buyer1BW,buyer2BW,buyer3BW,buyer1FTindex,buyer2FTindex,buyer3FTindex
30741,Cambodia,2018,1063,,,,,,,-1.0,-1.0,-1.0
37827,Cambodia,2019,1063,,,,,,,-1.0,-1.0,-1.0
41422,Cambodia,2021,1063,,,,,,,-1.0,-1.0,-1.0
9776,Cambodia,2015,1064,,,,,,,-1.0,-1.0,-1.0
15652,Cambodia,2016,1064,,,,,,,-1.0,-1.0,-1.0
26156,Cambodia,2018,1064,,,,,,,-1.0,-1.0,-1.0
32049,Cambodia,2019,1064,,,,,,,-1.0,-1.0,-1.0
38771,Cambodia,2020,1064,,,,,,,-1.0,-1.0,-1.0
42338,Cambodia,2021,1064,,,,,,,-1.0,-1.0,-1.0
11719,Cambodia,2015,1065,,,,,,,-1.0,-1.0,-1.0
18001,Cambodia,2016,1065,,,,,,,-1.0,-1.0,-1.0
23662,Cambodia,2017,1065,,,,,,,-1.0,-1.0,-1.0
37710,Cambodia,2019,1065,,,,,,,-1.0,-1.0,-1.0
41290,Cambodia,2021,1065,,,,,,,-1.0,-1.0,-1.0
11703,Cambodia,2015,1066,,,,,,,-1.0,-1.0,-1.0
17676,Cambodia,2016,1066,,,,,,,-1.0,-1.0,-1.0
23851,Cambodia,2017,1066,,,,,,,-1.0,-1.0,-1.0
32177,Cambodia,2019,1066,,,,,,,-1.0,-1.0,-1.0
38365,Cambodia,2020,1066,,,,,,,-1.0,-1.0,-1.0
43036,Cambodia,2021,1066,,,,,,,-1.0,-1.0,-1.0
15783,Cambodia,2016,1067,,,,,,,-1.0,-1.0,-1.0
22839,Cambodia,2017,1067,,,,,,,-1.0,-1.0,-1.0
29830,Cambodia,2018,1067,,,,,,,-1.0,-1.0,-1.0
36973,Cambodia,2019,1067,,,,,,,-1.0,-1.0,-1.0
41527,Cambodia,2021,1067,,,,,,,-1.0,-1.0,-1.0
13825,Cambodia,2016,1068,adida,,,0.0,,,58.0,-1.0,-1.0
20071,Cambodia,2017,1068,,,,,,,-1.0,-1.0,-1.0
28157,Cambodia,2018,1068,adida,,,0.0,,,58.0,-1.0,-1.0
38645,Cambodia,2020,1068,adida,,,0.0,,,58.0,-1.0,-1.0
42598,Cambodia,2021,1068,adida,,,0.0,,,58.0,-1.0,-1.0
10338,Cambodia,2015,1069,,,,,,,-1.0,-1.0,-1.0
16658,Cambodia,2016,1069,,,,,,,-1.0,-1.0,-1.0
24643,Cambodia,2018,1069,,,,,,,-1.0,-1.0,-1.0
33994,Cambodia,2019,1069,,,,,,,-1.0,-1.0,-1.0
41379,Cambodia,2021,1069,,,,,,,-1.0,-1.0,-1.0
15327,Cambodia,2016,1070,timberland,,,0.0,,,46.0,-1.0,-1.0
21954,Cambodia,2017,1070,timberland,,,0.0,,,46.0,-1.0,-1.0
29492,Cambodia,2018,1070,timberland,,,0.0,,,46.0,-1.0,-1.0
36477,Cambodia,2019,1070,,,,,,,-1.0,-1.0,-1.0
41575,Cambodia,2021,1070,timberland,,,0.0,,,46.0,-1.0,-1.0
11301,Cambodia,2015,1071,,,,,,,-1.0,-1.0,-1.0
10469,Cambodia,2015,1073,,,,,,,-1.0,-1.0,-1.0
18628,Cambodia,2017,1073,,,,,,,-1.0,-1.0,-1.0
15256,Cambodia,2016,1074,garan,,,0.0,,,-1.0,-1.0,-1.0
21597,Cambodia,2017,1074,garan,,,0.0,,,-1.0,-1.0,-1.0
29188,Cambodia,2018,1074,garan,,,0.0,,,-1.0,-1.0,-1.0
35641,Cambodia,2019,1074,,,,,,,-1.0,-1.0,-1.0
40141,Cambodia,2020,1074,garan,,,0.0,,,-1.0,-1.0,-1.0
43464,Cambodia,2021,1074,garan,,,0.0,,,-1.0,-1.0,-1.0
11299,Cambodia,2015,1078,,,,,,,-1.0,-1.0,-1.0
16017,Cambodia,2016,1078,,,,,,,-1.0,-1.0,-1.0
22449,Cambodia,2017,1078,,,,,,,-1.0,-1.0,-1.0
30838,Cambodia,2018,1078,,,,,,,-1.0,-1.0,-1.0
42220,Cambodia,2021,1078,,,,,,,-1.0,-1.0,-1.0
9705,Cambodia,2015,1079,,,,,,,-1.0,-1.0,-1.0
10359,Cambodia,2015,1080,adidas,,,0.0,,,58.0,-1.0,-1.0
15906,Cambodia,2016,1080,,,,,,,-1.0,-1.0,-1.0
21456,Cambodia,2017,1080,adidas,,,0.0,,,58.0,-1.0,-1.0
30675,Cambodia,2018,1080,adidas,,,0.0,,,58.0,-1.0,-1.0
43098,Cambodia,2021,1080,adidas,,,0.0,,,58.0,-1.0,-1.0
10054,Vietnam,2015,1081,chico's,torrid,johns,,,,11.0,-1.0,-1.0
20106,Vietnam,2017,1081,chico's,torrid,johns,,,,11.0,-1.0,-1.0
9923,Cambodia,2015,1082,,,,,,,-1.0,-1.0,-1.0
17728,Cambodia,2016,1082,,,,,,,-1.0,-1.0,-1.0
12251,Cambodia,2015,1083,,,,,,,-1.0,-1.0,-1.0
18428,Cambodia,2016,1083,,,,,,,-1.0,-1.0,-1.0
25670,Cambodia,2018,1083,,,,,,,-1.0,-1.0,-1.0
33772,Cambodia,2019,1083,,,,,,,-1.0,-1.0,-1.0
10365,Cambodia,2015,1085,,,,,,,-1.0,-1.0,-1.0
16347,Cambodia,2016,1085,,,,,,,-1.0,-1.0,-1.0
21365,Cambodia,2017,1085,,,,,,,-1.0,-1.0,-1.0
29206,Cambodia,2018,1085,,,,,,,-1.0,-1.0,-1.0
35498,Cambodia,2019,1085,,,,,,,-1.0,-1.0,-1.0
41224,Cambodia,2021,1085,,,,,,,-1.0,-1.0,-1.0
10395,Cambodia,2015,1086,,,,,,,-1.0,-1.0,-1.0
15939,Cambodia,2016,1086,,,,,,,-1.0,-1.0,-1.0
22141,Cambodia,2017,1086,,,,,,,-1.0,-1.0,-1.0
32919,Cambodia,2019,1086,,,,,,,-1.0,-1.0,-1.0
