QuestID,FactoryAssessedID,buyer1name,buyer2name,buyer3name,buyer1pol,buyer1gov,buyer1trace,buyer2trace,buyer3trace,buyertracemx,buyer1know,buyer2know,buyer3know,buyerknowmx
18136,1040,chamna,,,,,,,,-1.0,,,,-1.0
26138,1040,chamna,,,,,,,,-1.0,,,,-1.0
33313,1040,chamna,,,,,,,,-1.0,,,,-1.0
42854,1040,,,,,,,,,-1.0,,,,-1.0
16375,1041,,,,,,,,,-1.0,,,,-1.0
14509,1042,kayser roth,,,,,,,,-1.0,,,,-1.0
20269,1042,,,,,,,,,-1.0,,,,-1.0
27700,1042,kayser roth,,,,,,,,-1.0,,,,-1.0
34209,1042,kayser roth,,,,,,,,-1.0,,,,-1.0
40324,1042,kayser roth,,,,,,,,-1.0,,,,-1.0
13450,1043,,,,,,,,,-1.0,,,,-1.0
19301,1043,,,,,,,,,-1.0,,,,-1.0
12553,1044,gap,,,86.0,46.0,48.0,,,-1.0,54.0,,,-1.0
18300,1044,,,,,,,,,-1.0,,,,-1.0
24730,1044,gap,,,86.0,46.0,48.0,,,-1.0,54.0,,,-1.0
37906,1044,gap,,,86.0,46.0,48.0,,,-1.0,54.0,,,-1.0
13611,1045,,,,,,,,,-1.0,,,,-1.0
19454,1045,reitmans,,,,,,,,-1.0,,,,-1.0
25764,1045,reitmans,,,,,,,,-1.0,,,,-1.0
32937,1045,reitmans,,,,,,,,-1.0,,,,-1.0
41314,1045,reitmans,,,,,,,,-1.0,,,,-1.0
15597,1046,,,,,,,,,-1.0,,,,-1.0
9183,1047,gap,,,86.0,46.0,48.0,,,-1.0,54.0,,,-1.0
14691,1047,gap,,,86.0,46.0,48.0,,,-1.0,54.0,,,-1.0
20844,1047,gap,,,86.0,46.0,48.0,,,-1.0,54.0,,,-1.0
28008,1047,,,,,,,,,-1.0,,,,-1.0
34296,1047,gap,,,86.0,46.0,48.0,,,-1.0,54.0,,,-1.0
39906,1047,gap,,,86.0,46.0,48.0,,,-1.0,54.0,,,-1.0
42919,1047,gap,,,86.0,46.0,48.0,,,-1.0,54.0,,,-1.0
12138,1048,,,,,,,,,-1.0,,,,-1.0
18823,1048,,,,,,,,,-1.0,,,,-1.0
26106,1048,,,,,,,,,-1.0,,,,-1.0
33960,1048,,,,,,,,,-1.0,,,,-1.0
12061,1050,ams,,,,,,,,-1.0,,,,-1.0
18129,1050,ams,,,,,,,,-1.0,,,,-1.0
24897,1050,,,,,,,,,-1.0,,,,-1.0
32160,1050,ams,,,,,,,,-1.0,,,,-1.0
39079,1050,ams,,,,,,,,-1.0,,,,-1.0
14833,1051,,,,,,,,,-1.0,,,,-1.0
24120,1051,,,,,,,,,-1.0,,,,-1.0
32549,1051,,,,,,,,,-1.0,,,,-1.0
41317,1051,,,,,,,,,-1.0,,,,-1.0
12060,1052,,,,,,,,,-1.0,,,,-1.0
18294,1052,,,,,,,,,-1.0,,,,-1.0
24871,1052,,,,,,,,,-1.0,,,,-1.0
31933,1052,,,,,,,,,-1.0,,,,-1.0
38472,1052,,,,,,,,,-1.0,,,,-1.0
10839,1053,best seller,,,,,,,,-1.0,,,,-1.0
17330,1053,,,,,,,,,-1.0,,,,-1.0
23156,1053,best seller,,,,,,,,-1.0,,,,-1.0
30239,1053,best seller,,,,,,,,-1.0,,,,-1.0
38471,1053,best seller,,,,,,,,-1.0,,,,-1.0
42475,1053,best seller,,,,,,,,-1.0,,,,-1.0
11408,1055,,,,,,,,,-1.0,,,,-1.0
17761,1055,,,,,,,,,-1.0,,,,-1.0
23520,1055,,,,,,,,,-1.0,,,,-1.0
37347,1055,,,,,,,,,-1.0,,,,-1.0
13685,1059,,,,,,,,,-1.0,,,,-1.0
19633,1059,,,,,,,,,-1.0,,,,-1.0
15679,1060,,,,,,,,,-1.0,,,,-1.0
23352,1060,,,,,,,,,-1.0,,,,-1.0
32757,1060,,,,,,,,,-1.0,,,,-1.0
40994,1060,,,,,,,,,-1.0,,,,-1.0
17983,1061,,,,,,,,,-1.0,,,,-1.0
26042,1061,,,,,,,,,-1.0,,,,-1.0
34722,1061,,,,,,,,,-1.0,,,,-1.0
12501,1062,,,,,,,,,-1.0,,,,-1.0
18764,1062,,,,,,,,,-1.0,,,,-1.0
10880,1063,,,,,,,,,-1.0,,,,-1.0
16539,1063,,,,,,,,,-1.0,,,,-1.0
23689,1063,,,,,,,,,-1.0,,,,-1.0
30741,1063,,,,,,,,,-1.0,,,,-1.0
37827,1063,,,,,,,,,-1.0,,,,-1.0
41422,1063,,,,,,,,,-1.0,,,,-1.0
9776,1064,,,,,,,,,-1.0,,,,-1.0
15652,1064,,,,,,,,,-1.0,,,,-1.0
26156,1064,,,,,,,,,-1.0,,,,-1.0
32049,1064,,,,,,,,,-1.0,,,,-1.0
38771,1064,,,,,,,,,-1.0,,,,-1.0
42338,1064,,,,,,,,,-1.0,,,,-1.0
11719,1065,,,,,,,,,-1.0,,,,-1.0
18001,1065,,,,,,,,,-1.0,,,,-1.0
23662,1065,,,,,,,,,-1.0,,,,-1.0
37710,1065,,,,,,,,,-1.0,,,,-1.0
41290,1065,,,,,,,,,-1.0,,,,-1.0
11703,1066,,,,,,,,,-1.0,,,,-1.0
17676,1066,,,,,,,,,-1.0,,,,-1.0
23851,1066,,,,,,,,,-1.0,,,,-1.0
32177,1066,,,,,,,,,-1.0,,,,-1.0
38365,1066,,,,,,,,,-1.0,,,,-1.0
43036,1066,,,,,,,,,-1.0,,,,-1.0
15783,1067,,,,,,,,,-1.0,,,,-1.0
22839,1067,,,,,,,,,-1.0,,,,-1.0
29830,1067,,,,,,,,,-1.0,,,,-1.0
36973,1067,,,,,,,,,-1.0,,,,-1.0
41527,1067,,,,,,,,,-1.0,,,,-1.0
13825,1068,adida,,,,,,,,-1.0,,,,-1.0
20071,1068,,,,,,,,,-1.0,,,,-1.0
28157,1068,adida,,,,,,,,-1.0,,,,-1.0
38645,1068,adida,,,,,,,,-1.0,,,,-1.0
42598,1068,adida,,,,,,,,-1.0,,,,-1.0
10338,1069,,,,,,,,,-1.0,,,,-1.0
16658,1069,,,,,,,,,-1.0,,,,-1.0
24643,1069,,,,,,,,,-1.0,,,,-1.0
33994,1069,,,,,,,,,-1.0,,,,-1.0
41379,1069,,,,,,,,,-1.0,,,,-1.0
15327,1070,timberland,,,84.0,92.0,36.0,,,-1.0,32.0,,,-1.0
21954,1070,timberland,,,84.0,92.0,36.0,,,-1.0,32.0,,,-1.0
29492,1070,timberland,,,84.0,92.0,36.0,,,-1.0,32.0,,,-1.0
36477,1070,,,,,,,,,-1.0,,,,-1.0
41575,1070,timberland,,,84.0,92.0,36.0,,,-1.0,32.0,,,-1.0
11301,1071,,,,,,,,,-1.0,,,,-1.0
10469,1073,,,,,,,,,-1.0,,,,-1.0
